"Time","hourly_load","Predicted","Lahore_summary","Lahore_icon","Lahore_precipIntensity","Lahore_precipProbability","Lahore_temperature","Lahore_apparentTemperature","Lahore_dewPoint","Lahore_humidity","Lahore_pressure","Lahore_windSpeed","Lahore_windGust","Multan_summary","Multan_icon","Multan_precipIntensity","Multan_precipProbability","Multan_temperature","Multan_apparentTemperature","Multan_dewPoint","Multan_humidity","Multan_pressure","Multan_windSpeed","Multan_windGust","Faislabad_summary","Faislabad_icon","Faislabad_precipIntensity","Faislabad_precipProbability","Faislabad_temperature","Faislabad_apparentTemperature","Faislabad_dewPoint","Faislabad_humidity","Faislabad_pressure","Faislabad_windSpeed","Faislabad_windGust","Quetta_summary","Quetta_icon","Quetta_precipIntensity","Quetta_precipProbability","Quetta_temperature","Quetta_apparentTemperature","Quetta_dewPoint","Quetta_humidity","Quetta_pressure","Quetta_windSpeed","Quetta_windGust","Peshawar_summary","Peshawar_icon","Peshawar_precipIntensity","Peshawar_precipProbability","Peshawar_temperature","Peshawar_apparentTemperature","Peshawar_dewPoint","Peshawar_humidity","Peshawar_pressure","Peshawar_windSpeed","Peshawar_windGust","Gujranwala_summary","Gujranwala_icon","Gujranwala_precipIntensity","Gujranwala_precipProbability","Gujranwala_temperature","Gujranwala_apparentTemperature","Gujranwala_dewPoint","Gujranwala_humidity","Gujranwala_pressure","Gujranwala_windSpeed","Gujranwala_windGust","Hyderabad_summary","Hyderabad_icon","Hyderabad_precipIntensity","Hyderabad_precipProbability","Hyderabad_temperature","Hyderabad_apparentTemperature","Hyderabad_dewPoint","Hyderabad_humidity","Hyderabad_pressure","Hyderabad_windSpeed","Hyderabad_windGust","Sukkur_summary","Sukkur_icon","Sukkur_precipIntensity","Sukkur_precipProbability","Sukkur_temperature","Sukkur_apparentTemperature","Sukkur_dewPoint","Sukkur_humidity","Sukkur_pressure","Sukkur_windSpeed","Sukkur_windGust","Islamabad_summary","Islamabad_icon","Islamabad_precipIntensity","Islamabad_precipProbability","Islamabad_temperature","Islamabad_apparentTemperature","Islamabad_dewPoint","Islamabad_humidity","Islamabad_pressure","Islamabad_windSpeed","Islamabad_windGust"
2021-01-01 00:00:00,9237.2308,9140.411097,"Overcast","cloudy",0,0,7.98,7.98,0.32,0.58,1017.3,0.82,1.43,"Overcast","cloudy",0,0,9.83,9.33,-3.68,0.38,1017.8,1.63,2.23,"Overcast","cloudy",0,0,7.65,7.65,-3.3,0.46,1017.5,1,2.11,"Clear","clear-night",0,0,-1.83,-1.83,-14.98,0.36,1022.3,1.24,1.41,"Mostly Cloudy","partly-cloudy-night",0,0,10.48,10.48,-14.74,0.15,1019.3,1.8,2.29,"Overcast","cloudy",0,0,7.1,7.1,-1.14,0.56,1017.3,0.75,1.48,"Clear","clear-night",0,0,12.89,12.89,1.86,0.47,1016.4,4.05,5.12,"Clear","clear-night",0,0,9.98,9.5,-0.52,0.48,1017.8,1.63,2.75,"Mostly Cloudy","partly-cloudy-night",0,0,5.89,4.28,-3.47,0.51,1018.5,2.12,3.55
2021-01-01 01:00:00,8611.2308,8445.205223,"Overcast","cloudy",0,0,7.47,7.47,0.13,0.6,1017.1,0.89,1.53,"Overcast","cloudy",0,0,9.18,8.63,-4.63,0.37,1017.4,1.57,2.08,"Overcast","cloudy",0,0,7.08,7.08,-3.34,0.47,1017.3,0.95,1.93,"Clear","clear-night",0,0,-2.32,-2.32,-14.88,0.38,1022,1.31,1.47,"Overcast","cloudy",0,0,9.75,9.09,-14.93,0.16,1019,1.78,2.25,"Overcast","cloudy",0,0,6.48,6.48,-1.41,0.57,1017,1.09,1.87,"Clear","clear-night",0,0,12.18,12.18,1.83,0.49,1016,4.33,5.8,"Clear","clear-night",0,0,9.36,8.58,-0.86,0.49,1017.2,1.84,3.15,"Mostly Cloudy","partly-cloudy-night",0,0,5.44,3.76,-3.98,0.51,1018.2,2.12,3.4
2021-01-01 02:00:00,8430.272,8225.149178,"Overcast","cloudy",0,0,7.09,7.09,-0.16,0.6,1016.8,0.84,1.3,"Overcast","cloudy",0,0,8.64,8.07,-5.15,0.37,1017.1,1.52,1.78,"Overcast","cloudy",0,0,6.54,6.54,-3.37,0.49,1017,0.81,1.59,"Clear","clear-night",0,0,-2.87,-2.87,-14.47,0.4,1022.1,1.32,1.43,"Overcast","cloudy",0,0,9.24,8.46,-14.92,0.17,1018.8,1.83,2.29,"Overcast","cloudy",0,0,5.98,5.98,-1.65,0.58,1016.8,1.3,2.02,"Clear","clear-night",0,0,11.84,11.84,1.9,0.51,1015.7,4.35,5.85,"Clear","clear-night",0,0,8.98,8.11,4.17,0.72,1016.9,1.87,3.18,"Partly Cloudy","partly-cloudy-night",0,0,4.92,3.23,-4.36,0.51,1018,2.04,3.1
2021-01-01 03:00:00,8201.0496,8141.083662,"Overcast","cloudy",0,0,6.64,6.64,-0.36,0.61,1016.8,0.77,1.02,"Overcast","cloudy",0,0,7.92,7.33,-5.45,0.38,1016.9,1.46,1.87,"Overcast","cloudy",0,0,5.92,5.92,-3.34,0.51,1017,0.78,1.35,"Clear","clear-night",0,0,-3.19,-3.19,-14.36,0.42,1022.1,1.3,1.43,"Overcast","cloudy",0,0,8.85,8.03,-14.73,0.17,1018.7,1.8,2.28,"Overcast","cloudy",0,0,5.45,4.6,-1.85,0.59,1016.9,1.39,2.11,"Clear","clear-night",0,0,11.31,11.31,1.64,0.51,1015.6,4.43,5.93,"Clear","clear-night",0,0,8.26,7.24,-0.94,0.52,1016.7,1.92,3.31,"Partly Cloudy","partly-cloudy-night",0,0,4.3,2.54,-4.91,0.51,1018,2.02,3.02
2021-01-01 04:00:00,8426.0894,8511.000339,"Overcast","cloudy",0,0,6.19,6.19,-0.48,0.62,1017,0.67,0.69,"Mostly Cloudy","partly-cloudy-night",0,0,7.17,6.42,-5.53,0.4,1017.4,1.5,2.07,"Overcast","cloudy",0,0,5.39,5.39,-3.31,0.53,1017.2,0.76,1.13,"Clear","clear-night",0,0,-3.55,-3.55,-14.25,0.43,1022.5,1.26,1.39,"Overcast","cloudy",0,0,8.33,7.42,-13.89,0.19,1018.6,1.81,2.26,"Overcast","cloudy",0,0,5.06,4.13,-1.95,0.61,1017.1,1.41,2.13,"Clear","clear-night",0,0,10.76,10.76,1.19,0.52,1016.1,4.4,5.74,"Clear","clear-night",0,0,7.11,7.11,4.13,0.81,1017,0.29,3.38,"Mostly Cloudy","partly-cloudy-night",0,0,3.73,1.92,-5.51,0.51,1018,1.97,2.93
2021-01-01 05:00:00,9385.6874,9834.103629,"Overcast","cloudy",0,0,5.58,5.58,-0.63,0.64,1017.2,0.62,0.62,"Clear","clear-night",0,0,6.26,5.32,-5.45,0.43,1017.3,1.55,2.18,"Overcast","cloudy",0,0,4.76,4.76,-3.4,0.55,1017.3,0.79,1.02,"Clear","clear-night",0,0,-3.73,-3.73,-14.19,0.44,1023,1.23,1.36,"Overcast","cloudy",0,0,8.12,7.25,-14.17,0.19,1018.8,1.74,2.24,"Overcast","cloudy",0,0,3.69,2.57,-1.83,0.67,1017.3,1.42,2.07,"Clear","clear-night",0,0,10.14,10.14,0.88,0.53,1016.4,4.4,5.69,"Clear","clear-night",0,0,7.12,5.91,-0.95,0.57,1017.1,1.92,3.37,"Mostly Cloudy","partly-cloudy-night",0,0,2.84,0.92,-5.87,0.53,1018.3,1.94,2.87
2021-01-01 06:00:00,10847.818,10678.33126,"Overcast","cloudy",0,0,5.26,5.26,-0.54,0.66,1017.5,0.74,0.74,"Clear","clear-night",0,0,5.61,5.61,-3.69,0.51,1017.7,1.21,2.14,"Overcast","cloudy",0,0,4.38,4.38,-3.16,0.58,1017.7,0.94,1.13,"Clear","clear-night",0,0,-3.96,-3.96,-12.78,0.5,1023.5,1.14,1.29,"Overcast","cloudy",0,0,7.7,6.89,-10.8,0.26,1018.9,1.62,2.18,"Overcast","cloudy",0,0,3.38,3.38,-0.8,0.74,1017.6,1.22,1.91,"Clear","clear-night",0,0,10.04,10.04,-0.05,0.5,1016.8,4.53,6.01,"Clear","clear-night",0,0,5.3,5.3,2.48,0.82,1017.4,0.29,3.25,"Mostly Cloudy","partly-cloudy-night",0,0,2.57,0.78,-4.53,0.6,1018.4,1.8,2.79
2021-01-01 07:00:00,11161.884,10933.30231,"Overcast","cloudy",0,0,4.62,4.62,-0.76,0.68,1018.4,0.71,0.91,"Clear","clear-night",0,0,4.83,4.83,-3.56,0.55,1018.6,1.19,1.98,"Mostly Cloudy","partly-cloudy-night",0,0,3.6,3.6,-3.53,0.6,1018.5,0.82,1.3,"Clear","clear-night",0,0,-4.62,-4.62,-12.87,0.53,1024.1,1.15,1.26,"Overcast","cloudy",0,0,7.26,6.32,-10.59,0.27,1019.6,1.68,2.11,"Overcast","cloudy",0,0,2.76,2.76,-1.22,0.75,1018.6,1.12,1.57,"Clear","clear-night",0,0,9.41,7.08,0.74,0.55,1017.5,4.45,7.25,"Clear","clear-night",0,0,4.38,4.38,0.78,0.77,1018,0.24,2.73,"Clear","clear-night",0,0,1.72,0.14,-4.87,0.62,1019.3,1.54,2.33
2021-01-01 08:00:00,12033.184,11180.19579,"Mostly Cloudy","partly-cloudy-day",0,0,4.72,4.72,-0.74,0.68,1019.4,0.78,1.28,"Clear","clear-day",0,0,5.04,5.04,-3.66,0.53,1019.5,1.27,1.89,"Mostly Cloudy","partly-cloudy-day",0,0,3.75,3.75,-3.76,0.58,1019.5,0.81,1.41,"Clear","clear-day",0,0,-4.66,-4.66,-12.98,0.52,1024.5,1.16,1.25,"Overcast","cloudy",0,0,7.27,6.34,-10.54,0.27,1020.3,1.67,2.1,"Overcast","cloudy",0,0,2.87,2.87,-1.02,0.76,1019.5,1.13,1.47,"Clear","clear-day",0,0,9.67,7.39,0.99,0.55,1018.3,4.46,7.66,"Clear","clear-day",0,0,4.43,3.37,0.78,0.77,1019,1.45,2.57,"Clear","clear-day",0,0,2,0.37,-4.97,0.6,1020.1,1.61,2.39
2021-01-01 09:00:00,12906.693,11394.98637,"Mostly Cloudy","partly-cloudy-day",0,0,7.51,7.51,0.09,0.59,1019.7,0.93,1.56,"Clear","clear-day",0,0,8.04,7.6,-4.42,0.41,1019.8,1.35,1.49,"Clear","clear-day",0,0,7.07,7.07,-3.89,0.46,1019.8,0.88,1.2,"Clear","clear-day",0,0,-2.85,-2.85,-13.12,0.45,1024.3,1.11,1.18,"Mostly Cloudy","partly-cloudy-day",0,0,8.5,7.74,-10.66,0.25,1020.7,1.69,2.15,"Overcast","cloudy",0,0,5.43,5.43,-0.11,0.67,1019.8,1.17,1.34,"Clear","clear-day",0,0,12.17,12.17,0.55,0.45,1018.6,4.8,7.68,"Clear","clear-day",0,0,7.37,7.37,2.47,0.71,1019.2,0.23,2.61,"Clear","clear-day",0,0,5.02,3.48,-4.79,0.49,1020.6,1.91,2.55
