"Time","hourly_load","Predicted","Lahore_summary","Lahore_icon","Lahore_precipIntensity","Lahore_precipProbability","Lahore_temperature","Lahore_apparentTemperature","Lahore_dewPoint","Lahore_humidity","Lahore_pressure","Lahore_windSpeed","Lahore_windGust","Multan_summary","Multan_icon","Multan_precipIntensity","Multan_precipProbability","Multan_temperature","Multan_apparentTemperature","Multan_dewPoint","Multan_humidity","Multan_pressure","Multan_windSpeed","Multan_windGust","Faislabad_summary","Faislabad_icon","Faislabad_precipIntensity","Faislabad_precipProbability","Faislabad_temperature","Faislabad_apparentTemperature","Faislabad_dewPoint","Faislabad_humidity","Faislabad_pressure","Faislabad_windSpeed","Faislabad_windGust","Quetta_summary","Quetta_icon","Quetta_precipIntensity","Quetta_precipProbability","Quetta_temperature","Quetta_apparentTemperature","Quetta_dewPoint","Quetta_humidity","Quetta_pressure","Quetta_windSpeed","Quetta_windGust","Peshawar_summary","Peshawar_icon","Peshawar_precipIntensity","Peshawar_precipProbability","Peshawar_temperature","Peshawar_apparentTemperature","Peshawar_dewPoint","Peshawar_humidity","Peshawar_pressure","Peshawar_windSpeed","Peshawar_windGust","Gujranwala_summary","Gujranwala_icon","Gujranwala_precipIntensity","Gujranwala_precipProbability","Gujranwala_temperature","Gujranwala_apparentTemperature","Gujranwala_dewPoint","Gujranwala_humidity","Gujranwala_pressure","Gujranwala_windSpeed","Gujranwala_windGust","Hyderabad_summary","Hyderabad_icon","Hyderabad_precipIntensity","Hyderabad_precipProbability","Hyderabad_temperature","Hyderabad_apparentTemperature","Hyderabad_dewPoint","Hyderabad_humidity","Hyderabad_pressure","Hyderabad_windSpeed","Hyderabad_windGust","Sukkur_summary","Sukkur_icon","Sukkur_precipIntensity","Sukkur_precipProbability","Sukkur_temperature","Sukkur_apparentTemperature","Sukkur_dewPoint","Sukkur_humidity","Sukkur_pressure","Sukkur_windSpeed","Sukkur_windGust","Islamabad_summary","Islamabad_icon","Islamabad_precipIntensity","Islamabad_precipProbability","Islamabad_temperature","Islamabad_apparentTemperature","Islamabad_dewPoint","Islamabad_humidity","Islamabad_pressure","Islamabad_windSpeed","Islamabad_windGust"
"2021-03-14 00:00:00",NA,9334.08329263161,"Partly Cloudy","partly-cloudy-night",0,0,19.38,19.38,6.14,0.42,1013.1,1.59,2.65,"Clear","clear-night",0,0,20.67,20.67,8.28,0.45,1013.8,1.86,2.37,"Mostly Cloudy","partly-cloudy-night",0,0,19.97,19.97,7.18,0.44,1013.4,2.41,3.72,"Partly Cloudy","partly-cloudy-night",0.1502,0.03,12.87,12.87,7,0.68,1015,3.28,3.41,"Overcast","cloudy",0.4143,0.13,18.51,18.57,15.44,0.82,1016.7,3.45,6.06,"Partly Cloudy","partly-cloudy-night",0,0,18.51,18.51,7.06,0.47,1013.4,2.02,3.55,"Clear","clear-night",0,0,24.69,24.69,11.3,0.43,1013,3.31,6.8,"Clear","clear-night",0,0,22.82,22.82,7.7,0.38,1013.1,2.02,3.06,"Overcast","cloudy",0,0,17.99,17.99,9.95,0.59,1015,3.88,7.62
"2021-03-14 01:00:00",NA,9054.13576481951,"Mostly Cloudy","partly-cloudy-night",0,0,18.77,18.77,6.35,0.44,1012.6,1.61,2.67,"Clear","clear-night",0,0,20.08,20.08,8.24,0.46,1013.3,1.98,2.85,"Mostly Cloudy","partly-cloudy-night",0,0,19.43,19.43,7.66,0.46,1013,1.99,3.55,"Partly Cloudy","partly-cloudy-night",0.1671,0.03,12.63,12.63,6.66,0.67,1014.9,2.43,2.47,"Overcast","cloudy",0.116,0.07,18.04,18.07,15.08,0.83,1016.1,3.14,5.65,"Mostly Cloudy","partly-cloudy-night",0,0,18.31,18.31,6.99,0.48,1012.9,2.27,4.27,"Clear","clear-night",0,0,24.16,24.16,11.07,0.44,1012.4,3.27,6.81,"Clear","clear-night",0,0,22.1,22.1,7.77,0.4,1012.6,1.59,2.32,"Overcast","cloudy",0.0126,0.01,17.62,17.62,10.8,0.64,1014.7,5.43,10.99
"2021-03-14 02:00:00",NA,8800.5372063394,"Mostly Cloudy","partly-cloudy-night",0,0,18.1,18.1,6.53,0.47,1012.1,1.58,2.61,"Clear","clear-night",0,0,19.33,19.33,9.83,0.54,1012.8,2.81,4.83,"Partly Cloudy","partly-cloudy-night",0,0,19.03,19.03,8.18,0.49,1012.4,1.87,3.5,"Mostly Cloudy","partly-cloudy-night",0.2603,0.04,12.36,12.36,6.41,0.67,1014.8,2.34,2.48,"Overcast","cloudy",0.0468,0.04,17.66,17.66,14.69,0.83,1015.4,2.28,3.89,"Mostly Cloudy","partly-cloudy-night",0,0,18.06,18.06,6.74,0.48,1012.3,2.69,7.93,"Clear","clear-night",0,0,23.67,23.67,10.86,0.44,1011.8,3.12,6.57,"Clear","clear-night",0,0,21.24,21.24,7.74,0.42,1012,1.28,1.82,"Overcast","cloudy",0.0211,0.01,17.05,17.05,11.37,0.69,1014.2,5.19,10.37
"2021-03-14 03:00:00",NA,8705.21020834362,"Mostly Cloudy","partly-cloudy-night",0,0,17.56,17.56,6.54,0.48,1011.7,2.11,4.04,"Clear","clear-night",0,0,18.55,18.55,10.8,0.61,1012.5,2.66,4.46,"Clear","clear-night",0,0,18.12,18.12,8.39,0.53,1012.1,1.9,3.64,"Mostly Cloudy","partly-cloudy-night",0.195,0.03,12.23,12.23,5.93,0.65,1014.7,2.19,2.43,"Mostly Cloudy","partly-cloudy-night",0.1207,0.07,17.26,17.26,14.26,0.83,1014.5,1.85,2.94,"Mostly Cloudy","partly-cloudy-night",0,0,17.75,17.75,6.4,0.47,1011.8,2.52,8.2,"Clear","clear-night",0,0,22.98,22.98,11.05,0.47,1011.5,2.84,6.11,"Clear","clear-night",0,0,20.52,20.52,7.87,0.44,1011.6,1.17,1.62,"Mostly Cloudy","partly-cloudy-night",0.0097,0.01,16.69,16.69,10.58,0.67,1013.5,4.13,8.2
"2021-03-14 04:00:00",NA,8838.72961620413,"Partly Cloudy","partly-cloudy-night",0,0,16.17,16.17,6.96,0.54,1011.6,1.68,2.98,"Partly Cloudy","partly-cloudy-night",0,0,17.41,17.41,10.5,0.64,1012.2,2.56,3.94,"Clear","clear-night",0,0,16.71,16.71,8.33,0.58,1011.9,2.16,3.86,"Partly Cloudy","partly-cloudy-night",0.098,0.02,12.41,12.41,5.2,0.61,1014.4,1.99,2.38,"Overcast","cloudy",0.3399,0.11,17.43,17.43,13.85,0.8,1013.7,2.11,3.44,"Mostly Cloudy","partly-cloudy-night",0,0,16.14,16.14,6.83,0.54,1011.7,2.34,6.07,"Clear","clear-night",0,0,21.72,21.72,11.4,0.52,1011.3,2.37,5.19,"Clear","clear-night",0,0,18.93,18.93,8.31,0.5,1011.3,1.36,2.06,"Mostly Cloudy","partly-cloudy-night",0,0,15.23,15.23,9.85,0.7,1013,3.1,5.5
"2021-03-14 05:00:00",NA,9961.33348371497,"Clear","clear-night",0,0,15.48,15.48,6.94,0.57,1011.6,1.52,2.49,"Partly Cloudy","partly-cloudy-night",0,0,16.82,16.82,10.42,0.66,1012.2,2.4,3.64,"Clear","clear-night",0,0,16.05,16.05,8.11,0.59,1011.8,2,3.31,"Mostly Cloudy","partly-cloudy-night",0.1248,0.02,12.23,12.23,5.02,0.61,1014.6,1.73,2.24,"Overcast","cloudy",0.5232,0.16,17.48,17.48,13.69,0.78,1013.1,1.54,2.29,"Partly Cloudy","partly-cloudy-night",0,0,15.2,15.2,6.45,0.56,1011.5,1.77,2.92,"Clear","clear-night",0,0,20.63,20.63,11.42,0.56,1011.5,2,3.94,"Clear","clear-night",0,0,19.29,19.29,8.2,0.49,1011.2,1.79,2.95,"Mostly Cloudy","partly-cloudy-night",0,0,14.42,14.42,9.64,0.73,1012.5,2.43,3.45
"2021-03-14 06:00:00",NA,10077.2349400923,"Clear","clear-night",0,0,15.15,15.15,7.15,0.59,1011.9,1.37,1.82,"Partly Cloudy","partly-cloudy-night",0,0,16.29,16.29,10.89,0.7,1012.5,2.12,3.24,"Clear","clear-night",0,0,15.58,15.58,8.27,0.62,1012.2,1.82,2.63,"Partly Cloudy","partly-cloudy-night",0.1656,0.02,12.01,12.01,4.63,0.61,1015.2,1.85,2.68,"Overcast","cloudy",0.523,0.22,17.02,17.02,13.47,0.8,1013.4,2.3,3.66,"Clear","clear-night",0,0,14.53,14.53,6.2,0.57,1011.9,1.42,2,"Clear","clear-night",0,0,20.01,20.01,11.39,0.58,1011.9,1.85,3.44,"Clear","clear-night",0,0,19.52,19.52,8.12,0.48,1011.7,1.88,3.13,"Overcast","cloudy",0.026,0.03,14.45,14.45,9.79,0.74,1012.7,2.89,4.28
"2021-03-14 07:00:00",NA,10223.542972598,"Clear","clear-day",0,0,16.08,16.08,7.5,0.57,1012.4,1.07,1.22,"Partly Cloudy","partly-cloudy-day",0,0,16.88,16.88,11.27,0.7,1013.3,1.64,2.46,"Clear","clear-day",0,0,16.28,16.28,8.58,0.6,1012.8,1.35,1.72,"Partly Cloudy","partly-cloudy-day",0.1907,0.02,11.67,11.67,4.54,0.62,1016,2.2,3.44,"Overcast","cloudy",0.3896,0.2,16.88,16.88,13.41,0.8,1013.8,2.2,3.2,"Clear","clear-day",0,0,15.57,15.57,6.22,0.54,1012.4,1.58,2.03,"Clear","clear-day",0,0,20.07,20.07,11.56,0.58,1012.9,1.79,3.26,"Clear","clear-day",0,0,20.19,20.19,8.25,0.46,1012.8,1.88,3.12,"Overcast","cloudy",0.1421,0.08,14.89,14.89,10.25,0.74,1013.6,2.88,3.27
"2021-03-14 08:00:00",NA,10882.5321991195,"Clear","clear-day",0,0,18.93,18.93,7.2,0.46,1013,0.99,1.01,"Partly Cloudy","partly-cloudy-day",0,0,19.25,19.25,11.63,0.61,1014,1.78,2.72,"Clear","clear-day",0,0,18.87,18.87,8.61,0.51,1013.5,1.93,2.85,"Partly Cloudy","partly-cloudy-day",0.1525,0.02,12.22,12.22,4.54,0.59,1016.8,2.71,5.37,"Overcast","cloudy",0.2525,0.15,16.85,16.85,13.4,0.8,1014.4,2.32,3.12,"Clear","clear-day",0,0,18.64,18.64,5.73,0.43,1013.2,1.55,1.86,"Clear","clear-day",0,0,22.42,22.42,11.2,0.49,1013.7,1.93,3.25,"Clear","clear-day",0,0,22.34,22.34,8.04,0.4,1013.7,1.94,3.25,"Overcast","cloudy",0.3374,0.12,15.78,15.78,10.39,0.7,1014.6,3.93,4.9
"2021-03-14 09:00:00",NA,12019.4779103675,"Clear","clear-day",0,0,22.69,22.69,6.76,0.36,1013.7,1.22,1.78,"Clear","clear-day",0,0,22.17,22.17,11.32,0.5,1014.7,1.62,2.25,"Clear","clear-day",0,0,22.24,22.24,8.6,0.42,1014.3,1.38,1.46,"Partly Cloudy","partly-cloudy-day",0.044,0.01,13.2,13.2,4.68,0.56,1017.2,3.34,5.55,"Overcast","cloudy",0.1684,0.09,17.61,17.61,13.14,0.75,1015,1.95,2.41,"Clear","clear-day",0,0,22.51,22.51,5.08,0.32,1014,1.37,1.53,"Clear","clear-day",0,0,25.59,25.59,9.4,0.36,1014.4,2.13,3.12,"Clear","clear-day",0,0,25.29,25.29,7.68,0.33,1014.3,2.22,4.11,"Overcast","cloudy",0.5315,0.17,16.32,16.32,10.59,0.69,1015.7,3.69,4.61
