"Time","hourly_load","Predicted","Lahore_summary","Lahore_icon","Lahore_precipIntensity","Lahore_precipProbability","Lahore_temperature","Lahore_apparentTemperature","Lahore_dewPoint","Lahore_humidity","Lahore_pressure","Lahore_windSpeed","Lahore_windGust","Multan_summary","Multan_icon","Multan_precipIntensity","Multan_precipProbability","Multan_temperature","Multan_apparentTemperature","Multan_dewPoint","Multan_humidity","Multan_pressure","Multan_windSpeed","Multan_windGust","Faislabad_summary","Faislabad_icon","Faislabad_precipIntensity","Faislabad_precipProbability","Faislabad_temperature","Faislabad_apparentTemperature","Faislabad_dewPoint","Faislabad_humidity","Faislabad_pressure","Faislabad_windSpeed","Faislabad_windGust","Quetta_summary","Quetta_icon","Quetta_precipIntensity","Quetta_precipProbability","Quetta_temperature","Quetta_apparentTemperature","Quetta_dewPoint","Quetta_humidity","Quetta_pressure","Quetta_windSpeed","Quetta_windGust","Peshawar_summary","Peshawar_icon","Peshawar_precipIntensity","Peshawar_precipProbability","Peshawar_temperature","Peshawar_apparentTemperature","Peshawar_dewPoint","Peshawar_humidity","Peshawar_pressure","Peshawar_windSpeed","Peshawar_windGust","Gujranwala_summary","Gujranwala_icon","Gujranwala_precipIntensity","Gujranwala_precipProbability","Gujranwala_temperature","Gujranwala_apparentTemperature","Gujranwala_dewPoint","Gujranwala_humidity","Gujranwala_pressure","Gujranwala_windSpeed","Gujranwala_windGust","Hyderabad_summary","Hyderabad_icon","Hyderabad_precipIntensity","Hyderabad_precipProbability","Hyderabad_temperature","Hyderabad_apparentTemperature","Hyderabad_dewPoint","Hyderabad_humidity","Hyderabad_pressure","Hyderabad_windSpeed","Hyderabad_windGust","Sukkur_summary","Sukkur_icon","Sukkur_precipIntensity","Sukkur_precipProbability","Sukkur_temperature","Sukkur_apparentTemperature","Sukkur_dewPoint","Sukkur_humidity","Sukkur_pressure","Sukkur_windSpeed","Sukkur_windGust","Islamabad_summary","Islamabad_icon","Islamabad_precipIntensity","Islamabad_precipProbability","Islamabad_temperature","Islamabad_apparentTemperature","Islamabad_dewPoint","Islamabad_humidity","Islamabad_pressure","Islamabad_windSpeed","Islamabad_windGust"
"2020-12-01 00:00:00",8239,8292.361775,"Partly Cloudy","partly-cloudy-night",0,0,13.33,13.33,6.86,0.65,1016.5,0.93,0.94,"Clear","clear-night",0,0,15.27,15.27,5.64,0.53,1017.3,1.05,2.71,"Partly Cloudy","partly-cloudy-night",0,0,16.45,16.45,8.14,0.58,1016.6,1.46,1.58,"Clear","clear-night",0,0,8.44,8.44,-8.26,0.3,1020.2,1.28,1.28,"Overcast","cloudy",0,0,13.24,13.24,4.81,0.57,1019.2,0.91,0.93,"Mostly Cloudy","partly-cloudy-night",0,0,13.73,13.73,4.36,0.53,1016.6,0.9,1.35,"Clear","clear-night",0,0,17.36,17.36,4.43,0.42,1015.6,1.52,2.08,"Clear","clear-night",0,0,13.38,13.38,8.02,0.7,1016.9,0.18,1.28,"Overcast","cloudy",0,0,11.17,11.17,4.62,0.64,1018.3,0.89,1.61
"2020-12-01 01:00:00",7972,7793.370276,"Clear","clear-night",0,0,13.12,13.12,6.83,0.66,1016.3,1.28,1.3,"Clear","clear-night",0,0,14.4,14.4,6.06,0.57,1017,0.95,2.46,"Clear","clear-night",0,0,15.42,15.42,8.45,0.63,1016.4,1.24,1.31,"Clear","clear-night",0,0,7.84,7.84,-8.49,0.3,1020.1,1.12,1.12,"Overcast","cloudy",0,0,12.54,12.54,4.43,0.58,1019.2,1.15,1.17,"Mostly Cloudy","partly-cloudy-night",0,0,12.85,12.85,5.15,0.6,1016.5,1.12,1.78,"Clear","clear-night",0,0,16.48,16.48,4.18,0.44,1015.4,1.7,2.21,"Clear","clear-night",0,0,14.96,14.96,8.2,0.64,1016.5,1.37,1.73,"Mostly Cloudy","partly-cloudy-night",0,0,10.61,10.61,4.43,0.66,1018,1,1.74
"2020-12-01 02:00:00",7834,7673.94343,"Clear","clear-night",0,0,12.75,12.75,6.5,0.66,1016.1,1.46,1.47,"Clear","clear-night",0,0,13.65,13.65,5.97,0.6,1016.8,0.92,2.21,"Clear","clear-night",0,0,14.68,14.68,7.93,0.64,1016.2,1.08,1.31,"Clear","clear-night",0,0,7.28,7.28,-8.95,0.31,1020.1,1.05,1.05,"Overcast","cloudy",0,0,12.02,12.02,3.45,0.56,1019.2,1.28,1.45,"Mostly Cloudy","partly-cloudy-night",0,0,12.2,12.2,5.14,0.62,1016.2,1.27,2.08,"Clear","clear-night",0,0,15.91,15.91,4.01,0.45,1015.1,1.86,2.29,"Clear","clear-night",0,0,11.5,11.5,7.03,0.74,1016.1,0.22,2.15,"Mostly Cloudy","partly-cloudy-night",0,0,10.2,10.2,4.29,0.67,1017.8,1.15,1.93
"2020-12-01 03:00:00",7798,7550.966491,"Clear","clear-night",0,0,12.12,12.12,6.04,0.66,1016,1.35,1.37,"Clear","clear-night",0,0,12.9,12.9,5.93,0.63,1016.7,0.92,1.97,"Clear","clear-night",0,0,13.92,13.92,7.36,0.65,1016.1,0.92,1.23,"Clear","clear-night",0,0,6.74,6.74,-9.67,0.3,1020,1.06,1.06,"Overcast","cloudy",0,0,11.52,11.52,2.86,0.55,1019.3,1.3,1.51,"Mostly Cloudy","partly-cloudy-night",0,0,11.44,11.44,4.99,0.65,1016.1,1.24,1.98,"Clear","clear-night",0,0,15.51,15.51,3.99,0.46,1015,2.15,2.47,"Clear","clear-night",0,0,10.54,10.54,6.99,0.79,1015.9,0.23,2.26,"Mostly Cloudy","partly-cloudy-night",0,0,9.65,9.65,4.17,0.69,1017.6,1.27,2.03
"2020-12-01 04:00:00",8068,7687.160883,"Clear","clear-night",0,0,11.1,11.1,5.49,0.68,1015.9,1.12,1.17,"Clear","clear-night",0,0,11.9,11.9,5.71,0.66,1016.7,0.96,1.71,"Clear","clear-night",0,0,13.09,13.09,6.77,0.65,1016.1,0.77,1.12,"Clear","clear-night",0,0,6.2,6.2,-10.52,0.29,1020,1.13,1.16,"Mostly Cloudy","partly-cloudy-night",0,0,10.99,10.99,2.35,0.55,1019.2,1.28,1.52,"Mostly Cloudy","partly-cloudy-night",0,0,10.43,10.43,4.86,0.68,1016,1.11,1.69,"Clear","clear-night",0,0,15.28,15.28,3.98,0.47,1015,2.49,2.91,"Clear","clear-night",0,0,12.89,12.89,6.62,0.66,1015.8,1.47,2.22,"Mostly Cloudy","partly-cloudy-night",0,0,8.97,8.61,4.13,0.72,1017.6,1.38,2.09
"2020-12-01 05:00:00",9295,9106.33093,"Clear","clear-night",0,0,10.52,10.52,5.13,0.69,1016,0.93,1.07,"Clear","clear-night",0,0,11.31,11.31,5.54,0.68,1016.9,1.01,1.46,"Clear","clear-night",0,0,12.45,12.45,6.28,0.66,1016.3,0.64,1.02,"Clear","clear-night",0,0,6.07,6.07,-11.08,0.28,1020.1,1.17,1.22,"Mostly Cloudy","partly-cloudy-night",0,0,10.62,10.62,2.12,0.56,1019,1.27,1.53,"Partly Cloudy","partly-cloudy-night",0,0,9.86,9.86,4.77,0.71,1016.1,1.04,1.45,"Clear","clear-night",0,0,15.67,15.67,3.99,0.46,1015.2,2.78,3.28,"Clear","clear-night",0,0,9.56,9.56,6.08,0.79,1015.8,0.22,2.13,"Mostly Cloudy","partly-cloudy-night",0,0,8.53,7.99,4.14,0.74,1017.8,1.49,2.15
"2020-12-01 06:00:00",10188,9495.587965,"Clear","clear-night",0,0,10.7,10.7,4.87,0.67,1016.4,0.83,0.87,"Clear","clear-night",0,0,11.35,11.35,5.55,0.67,1017.2,1.18,1.25,"Clear","clear-night",0,0,12.39,12.39,6.24,0.66,1016.6,0.71,0.89,"Clear","clear-night",0,0,6.07,6.07,-8.54,0.34,1020.5,1.04,1.06,"Partly Cloudy","partly-cloudy-night",0,0,10.66,10.66,3.15,0.6,1018.9,1.53,1.74,"Partly Cloudy","partly-cloudy-night",0,0,10.21,10.21,4.39,0.67,1016.3,0.98,1.3,"Clear","clear-night",0,0,16.16,16.16,4.48,0.46,1015.4,2.94,3.53,"Clear","clear-night",0,0,9.56,9.56,6.05,0.79,1016.2,0.23,1.98,"Partly Cloudy","partly-cloudy-night",0,0,8.58,7.85,4.61,0.76,1017.8,1.67,2.23
"2020-12-01 07:00:00",10693,9638.018635,"Clear","clear-day",0,0,10.93,10.93,5.01,0.67,1017.3,0.72,0.73,"Clear","clear-day",0,0,11.35,11.35,5.46,0.67,1018.4,0.94,1.03,"Clear","clear-day",0,0,12.43,12.43,6.14,0.65,1017.5,0.71,0.77,"Clear","clear-night",0,0,5.68,5.68,-8.77,0.35,1021.3,1.14,1.14,"Clear","clear-night",0,0,10.51,10.51,3.3,0.61,1019.8,1.46,1.73,"Clear","clear-day",0,0,10.1,10.1,4.31,0.67,1017.2,0.83,1.2,"Clear","clear-day",0,0,16.72,16.72,5.28,0.47,1016.6,3.01,3.69,"Clear","clear-night",0,0,12.95,12.95,6.36,0.64,1017.4,1.28,1.77,"Clear","clear-day",0,0,8.7,8.1,4.85,0.77,1018.6,1.57,2.31
"2020-12-01 08:00:00",11834,10507.68481,"Clear","clear-day",0,0,12.15,12.15,5.52,0.64,1018.1,0.78,0.8,"Clear","clear-day",0,0,12.21,12.21,5.8,0.65,1019.4,0.67,0.75,"Clear","clear-day",0,0,13.63,13.63,6.29,0.61,1018.3,0.76,0.76,"Clear","clear-day",0,0,6.27,6.27,-9.11,0.32,1022,1.16,1.16,"Clear","clear-day",0,0,10.95,10.95,3.52,0.6,1020.6,1.27,1.44,"Clear","clear-day",0,0,11.1,11.1,4.73,0.65,1018,0.83,1.23,"Clear","clear-day",0,0,17.8,17.8,5.91,0.46,1017.5,3.09,3.79,"Clear","clear-day",0,0,12.24,12.24,7.83,0.74,1018.3,0.17,1.68,"Clear","clear-day",0,0,9.44,9.06,5.21,0.75,1019.4,1.45,2.15
"2020-12-01 09:00:00",11879,10858.3276,"Clear","clear-day",0,0,15.91,15.91,5.59,0.5,1018.6,1.01,1.36,"Clear","clear-day",0,0,16.12,16.12,6.21,0.52,1019.9,0.64,0.75,"Clear","clear-day",0,0,17.48,17.48,6.42,0.48,1018.8,1.1,1.2,"Clear","clear-day",0,0,9.07,9.07,-8.67,0.28,1022,1.01,1.01,"Clear","clear-day",0,0,13.48,13.48,3.64,0.51,1021,1.24,1.39,"Clear","clear-day",0,0,14.98,14.98,4.95,0.51,1018.6,1.09,1.58,"Clear","clear-day",0,0,20.6,20.6,5.85,0.38,1018,3.09,3.44,"Clear","clear-day",0,0,14.54,14.54,9.54,0.72,1018.6,0.15,1.42,"Clear","clear-day",0,0,12.41,12.41,5.6,0.63,1019.9,1.81,2.52
