"Time","hourly_load","Predicted","Lahore_summary","Lahore_icon","Lahore_precipIntensity","Lahore_precipProbability","Lahore_temperature","Lahore_apparentTemperature","Lahore_dewPoint","Lahore_humidity","Lahore_pressure","Lahore_windSpeed","Lahore_windGust","Multan_summary","Multan_icon","Multan_precipIntensity","Multan_precipProbability","Multan_temperature","Multan_apparentTemperature","Multan_dewPoint","Multan_humidity","Multan_pressure","Multan_windSpeed","Multan_windGust","Faislabad_summary","Faislabad_icon","Faislabad_precipIntensity","Faislabad_precipProbability","Faislabad_temperature","Faislabad_apparentTemperature","Faislabad_dewPoint","Faislabad_humidity","Faislabad_pressure","Faislabad_windSpeed","Faislabad_windGust","Quetta_summary","Quetta_icon","Quetta_precipIntensity","Quetta_precipProbability","Quetta_temperature","Quetta_apparentTemperature","Quetta_dewPoint","Quetta_humidity","Quetta_pressure","Quetta_windSpeed","Quetta_windGust","Peshawar_summary","Peshawar_icon","Peshawar_precipIntensity","Peshawar_precipProbability","Peshawar_temperature","Peshawar_apparentTemperature","Peshawar_dewPoint","Peshawar_humidity","Peshawar_pressure","Peshawar_windSpeed","Peshawar_windGust","Gujranwala_summary","Gujranwala_icon","Gujranwala_precipIntensity","Gujranwala_precipProbability","Gujranwala_temperature","Gujranwala_apparentTemperature","Gujranwala_dewPoint","Gujranwala_humidity","Gujranwala_pressure","Gujranwala_windSpeed","Gujranwala_windGust","Hyderabad_summary","Hyderabad_icon","Hyderabad_precipIntensity","Hyderabad_precipProbability","Hyderabad_temperature","Hyderabad_apparentTemperature","Hyderabad_dewPoint","Hyderabad_humidity","Hyderabad_pressure","Hyderabad_windSpeed","Hyderabad_windGust","Sukkur_summary","Sukkur_icon","Sukkur_precipIntensity","Sukkur_precipProbability","Sukkur_temperature","Sukkur_apparentTemperature","Sukkur_dewPoint","Sukkur_humidity","Sukkur_pressure","Sukkur_windSpeed","Sukkur_windGust","Islamabad_summary","Islamabad_icon","Islamabad_precipIntensity","Islamabad_precipProbability","Islamabad_temperature","Islamabad_apparentTemperature","Islamabad_dewPoint","Islamabad_humidity","Islamabad_pressure","Islamabad_windSpeed","Islamabad_windGust"
"2021-03-15 00:00:00",NA,10208.3981101859,"Partly Cloudy","partly-cloudy-night",0,0,19.9,19.9,6.09,0.41,1011.3,2.14,2.82,"Partly Cloudy","partly-cloudy-night",0.0634,0.01,22.7,22.7,5.44,0.33,1011.9,3.99,5.83,"Partly Cloudy","partly-cloudy-night",0,0,20.96,20.96,8.73,0.45,1011.5,3.17,4.67,"Clear","clear-night",0,0,10.13,10.13,-4.32,0.36,1016.8,1.47,1.59,"Mostly Cloudy","partly-cloudy-night",0.0764,0.02,16.95,16.95,13.51,0.8,1016,1.44,1.73,"Partly Cloudy","partly-cloudy-night",0,0,18.35,18.35,8.39,0.52,1012,3.32,4.51,"Partly Cloudy","partly-cloudy-night",0,0,26.2,26.2,2.17,0.21,1010.7,4.55,7.34,"Mostly Cloudy","partly-cloudy-night",0,0,24.11,24.11,2.31,0.24,1010.4,2.48,5.33,"Clear","clear-night",0.0155,0.01,14.57,14.57,10.82,0.78,1014.7,2.63,3.47
"2021-03-15 01:00:00",NA,9982.77184603214,"Partly Cloudy","partly-cloudy-night",0,0,19.14,19.14,5.32,0.4,1011.2,2.13,2.53,"Clear","clear-night",0,0,21.98,21.98,6.15,0.36,1011.9,4.48,6.25,"Partly Cloudy","partly-cloudy-night",0,0,20.18,20.18,8.78,0.48,1011.4,2.75,3.89,"Clear","clear-night",0,0,9.61,9.61,-4.39,0.37,1016.4,1.23,1.29,"Overcast","cloudy",0.0416,0.02,16.89,16.89,13.3,0.79,1015.8,1.27,1.64,"Partly Cloudy","partly-cloudy-night",0,0,17.7,17.7,8.73,0.56,1011.9,3.41,4.55,"Clear","clear-night",0,0,25.66,25.66,3.27,0.23,1010.2,4.22,6.57,"Partly Cloudy","partly-cloudy-night",0,0,22.98,22.98,2.23,0.26,1010,2.03,4.29,"Clear","clear-night",0.0219,0.01,14.01,14.01,10.55,0.8,1014.5,2.63,3.58
"2021-03-15 02:00:00",NA,9739.04554173799,"Partly Cloudy","partly-cloudy-night",0,0,18.45,18.45,4.94,0.41,1010.7,2.17,2.36,"Clear","clear-night",0,0,21.09,21.09,7.19,0.41,1011.4,5,6.97,"Mostly Cloudy","partly-cloudy-night",0.0457,0.01,19.47,19.47,8.68,0.5,1011.2,2.52,3,"Partly Cloudy","partly-cloudy-night",0,0,9.28,9.28,-4.65,0.37,1015.5,1.05,1.12,"Mostly Cloudy","partly-cloudy-night",0.0511,0.02,16.7,16.7,12.99,0.79,1015.4,1.31,1.96,"Partly Cloudy","partly-cloudy-night",0,0,17.07,17.07,8.77,0.58,1011.3,3.42,4.41,"Clear","clear-night",0,0,25.06,25.06,3.68,0.25,1009.3,3.63,4.53,"Partly Cloudy","partly-cloudy-night",0,0,21.88,21.88,2.48,0.28,1009.3,1.7,3.31,"Clear","clear-night",0.0126,0.01,13.54,13.54,10.25,0.81,1014.1,2.58,3.57
"2021-03-15 03:00:00",NA,9484.67933486419,"Partly Cloudy","partly-cloudy-night",0,0,17.63,17.63,5.06,0.43,1010.4,1.71,1.71,"Clear","clear-night",0,0,19.88,19.88,7.72,0.45,1011.3,5.1,8.42,"Mostly Cloudy","partly-cloudy-night",0,0,18.98,18.98,8.32,0.5,1011.1,3.03,4.26,"Partly Cloudy","partly-cloudy-night",0,0,8.99,8.99,-4.9,0.37,1015,1.1,1.2,"Mostly Cloudy","partly-cloudy-night",0.0272,0.01,16.4,16.4,12.6,0.78,1015,1.57,2.39,"Partly Cloudy","partly-cloudy-night",0,0,16.44,16.44,8.57,0.6,1011,3.33,4.16,"Mostly Cloudy","partly-cloudy-night",0,0,24.69,24.69,3.13,0.25,1008.8,3.27,3.98,"Partly Cloudy","partly-cloudy-night",0,0,21.14,21.14,2.84,0.3,1009,1.83,3.37,"Clear","clear-night",0.0086,0.01,12.97,12.97,9.78,0.81,1013.7,2.71,3.74
"2021-03-15 04:00:00",NA,9586.49254527614,"Partly Cloudy","partly-cloudy-night",0,0,17.15,17.15,5.61,0.47,1010.2,1.67,1.67,"Clear","clear-night",0,0,18.89,18.89,7.14,0.46,1011.1,4.7,8.15,"Mostly Cloudy","partly-cloudy-night",0,0,18,18,8.18,0.53,1010.9,2.62,3.23,"Clear","clear-night",0,0,8.83,8.83,-5.05,0.37,1014.8,1.12,1.24,"Mostly Cloudy","partly-cloudy-night",0.02,0.01,15.98,15.98,12.16,0.78,1014.9,1.49,2.25,"Partly Cloudy","partly-cloudy-night",0,0,15.41,15.41,8.41,0.63,1010.6,2.55,2.73,"Partly Cloudy","partly-cloudy-night",0,0,24.16,24.16,2.58,0.24,1008.5,3.31,4.27,"Partly Cloudy","partly-cloudy-night",0,0,20.28,20.28,4.57,0.36,1009,1.73,2.88,"Clear","clear-night",0.0193,0.01,12.4,12.4,9.26,0.81,1013.4,2.75,3.88
"2021-03-15 05:00:00",NA,10496.0437103093,"Partly Cloudy","partly-cloudy-night",0,0,17.27,17.27,6.95,0.51,1010.6,2.2,2.32,"Clear","clear-night",0,0,18.08,18.08,9.88,0.59,1011.6,4.55,7.57,"Partly Cloudy","partly-cloudy-night",0,0,16.61,16.61,9.28,0.62,1011.5,2.62,3.07,"Clear","clear-night",0,0,8.66,8.66,-5.98,0.35,1015,1.09,1.18,"Mostly Cloudy","partly-cloudy-night",0.0139,0.01,15.65,15.65,11.92,0.78,1015.2,1.41,1.98,"Partly Cloudy","partly-cloudy-night",0.0065,0.01,14.5,14.5,9.05,0.7,1011.1,2.65,2.75,"Partly Cloudy","partly-cloudy-night",0,0,23.47,23.47,1.11,0.23,1008.6,2.8,3.58,"Partly Cloudy","partly-cloudy-night",0,0,20.17,20.17,2.57,0.31,1009.4,2.01,2.95,"Clear","clear-night",0.0243,0.01,11.99,11.99,8.98,0.82,1013.8,2.96,5.24
"2021-03-15 06:00:00",NA,10697.8692969309,"Partly Cloudy","partly-cloudy-night",0,0,17.39,17.39,7.38,0.52,1011.1,2.43,2.7,"Partly Cloudy","partly-cloudy-night",0,0,17.69,17.69,10.02,0.61,1012.3,4.85,8.37,"Clear","clear-night",0,0,16.13,16.13,9.42,0.64,1011.8,2.86,3.41,"Clear","clear-night",0,0,8.55,8.55,-6.12,0.35,1015.6,1.02,1.09,"Partly Cloudy","partly-cloudy-night",0,0,15.56,15.56,11.86,0.79,1015.5,1.31,1.76,"Mostly Cloudy","partly-cloudy-night",0.0221,0.01,14.27,14.27,9.21,0.72,1011.5,3.19,3.55,"Partly Cloudy","partly-cloudy-night",0,0,23.02,23.02,1.02,0.23,1009.4,2.46,3.19,"Mostly Cloudy","partly-cloudy-night",0,0,20.71,20.71,2.66,0.3,1010.4,2.7,3.45,"Partly Cloudy","partly-cloudy-night",0.0175,0.01,12.12,12.12,8.89,0.81,1014.1,2.83,4.72
"2021-03-15 07:00:00",NA,11054.8472850275,"Clear","clear-day",0,0,18.2,18.2,7.94,0.51,1012.1,2.6,2.89,"Partly Cloudy","partly-cloudy-day",0,0,17.96,17.96,10.15,0.6,1013.3,5.08,8.97,"Clear","clear-day",0,0,16.76,16.76,9.63,0.63,1012.5,3.3,4.44,"Clear","clear-day",0,0,8.5,8.5,-5.91,0.36,1016.7,0.98,1.06,"Partly Cloudy","partly-cloudy-day",0,0,15.94,15.94,12.13,0.78,1016.1,1.4,1.86,"Mostly Cloudy","partly-cloudy-day",0,0,15.2,15.2,9.65,0.69,1012.3,3.49,4.01,"Partly Cloudy","partly-cloudy-day",0,0,22.77,22.77,1.3,0.24,1010.7,2.25,3.14,"Mostly Cloudy","partly-cloudy-day",0,0,21.27,21.27,3.08,0.3,1011.8,3.39,3.99,"Partly Cloudy","partly-cloudy-day",0.0181,0.01,12.88,12.88,9.24,0.79,1014.8,2.86,4.28
"2021-03-15 08:00:00",NA,12756.9205764085,"Clear","clear-day",0,0,20,20,7.57,0.45,1012.8,2.91,3.59,"Partly Cloudy","partly-cloudy-day",0,0,19.88,19.88,9.78,0.52,1014.3,5.7,9,"Clear","clear-day",0,0,19.13,19.13,9.26,0.53,1013.3,3.51,4.88,"Clear","clear-day",0,0,10.3,10.3,-5.48,0.33,1017.3,1.02,1.11,"Partly Cloudy","partly-cloudy-day",0,0,17.21,17.21,12.19,0.72,1016.5,1.6,2.18,"Clear","clear-day",0,0,17.78,17.78,9.89,0.6,1012.9,3.8,4.93,"Clear","clear-day",0,0,24.54,24.54,0.63,0.21,1011.7,2.22,3,"Partly Cloudy","partly-cloudy-day",0,0,23.2,23.2,3.15,0.27,1012.7,3.67,3.92,"Partly Cloudy","partly-cloudy-day",0.021,0.01,14.63,14.63,9.38,0.71,1015.2,3.03,4.26
"2021-03-15 09:00:00",NA,13803.5043465397,"Clear","clear-day",0,0,22.63,22.63,6.58,0.35,1013.3,2.77,3.07,"Clear","clear-day",0,0,22.26,22.26,9.14,0.43,1015.1,5.79,9.03,"Clear","clear-day",0,0,22.1,22.1,8.48,0.42,1014.1,3.44,4.46,"Clear","clear-day",0,0,12.84,12.84,-5.82,0.27,1017.6,1.05,1.35,"Partly Cloudy","partly-cloudy-day",0,0,18.9,18.9,12.26,0.65,1016.9,1.69,2.25,"Clear","clear-day",0,0,21.33,21.33,8.7,0.44,1013.4,3.78,4.69,"Clear","clear-day",0,0,27.16,27.16,-0.89,0.16,1012.4,2.34,3.07,"Partly Cloudy","partly-cloudy-day",0,0,25.51,25.51,2.95,0.23,1013.5,4.15,4.39,"Partly Cloudy","partly-cloudy-day",0,0,16.87,16.87,9.46,0.62,1015.6,3.38,4.39
