"Time","Demand_PESCO","Alloc_PESCO","Drawn_PESCO","Demand_TESCO","Alloc_TESCO","Drawn_TESCO","Demand_IESCO","Alloc_IESCO","Drawn_IESCO","Demand_GEPCO","Alloc_GEPCO","Drawn_GEPCO","Demand_LESCO","Alloc_LESCO","Drawn_LESCO","Demand_FESCO","Alloc_FESCO","Drawn_FESCO","Demand_MEPCO","Alloc_MEPCO","Drawn_MEPCO","Demand_SEPCO","Alloc_SEPCO","Drawn_SEPCO","Demand_HESCO","Alloc_HESCO","Drawn_HESCO","Demand_QESCO","Alloc_QESCO","Drawn_QESCO"
2020-12-01 00:00:00,1764,1720.25,1076,175,193.75,123,778.5,882.75,773,670.25,882.75,662.25,1554.25,1845,1542.75,1013.75,1281.25,1010.75,961.5,1365.5,945.75,393.25,521,235.75,505.75,719.5,362.25,1089.5,1272,576.5
2020-12-01 01:00:00,1723,1700,944.5,186.75,200,133,748.25,850,741.5,641.5,850,632.75,1485,1800,1475.5,982.25,1250,979.75,924,1300,908.25,380.25,500,213,489,700,409.25,1132.25,1248,587.75
2020-12-01 02:00:00,1721.25,1700,1016.75,186.25,168.25,136.5,720.5,889,715.5,633,889,624,1450.75,1960,1443.25,959,1368.75,956.25,890,1300,876.25,361,459.75,216,460.25,684,414.5,1120.75,1250,579.25
2020-12-01 03:00:00,1701,1617.75,1056,184,160,132,708.75,782.75,704.75,619.75,783.25,610.75,1417.5,1573.75,1409.5,955.75,1083.25,948,880,1066.75,865.75,352,410.5,202.25,446,496.25,402,1090.5,1152,510.75
2020-12-01 04:00:00,1747.25,1640,965.75,176,160,123.75,713.5,789,710.75,621.25,750,611.5,1429.75,1488.75,1422.75,953.75,1000,946.25,884.5,1000,870.75,343,400,171.75,436.5,450,381,1182.5,1125,501.25
2020-12-01 05:00:00,1812,1767.25,1095.75,180.75,191.75,125.5,760,878,758.25,683.75,867.25,675,1518,1639.5,1512.75,1009.5,1115.5,1005,958.5,1155.5,944.5,354.5,415.75,185.5,431.25,550,357,1169,1224.5,491.5
2020-12-01 06:00:00,1986.25,1879.5,1313.75,176.5,200,128,896,978,894.5,826,993.25,820,1719.25,1904.75,1709.75,1140.75,1308.25,1137.75,1237.25,1500,1219.75,385.5,428,207.75,441.5,571,315.75,1121.5,1261.75,565.75
2020-12-01 07:00:00,2032,1900,1243,180,200,131.25,972.5,1078.5,966.25,911,1059,902.5,1859,2032,1840.75,1213,1310.5,1209.25,1359,1639,1331.5,399,430,216.5,471.5,570,283.5,1172,1265,570.5
2020-12-01 08:00:00,2076.25,2018.75,1323.75,174.25,200,125.5,1062.5,1178,1055.5,1033,1132.5,1025.5,2003.25,2127.75,1988.5,1336.5,1418.75,1330.5,1443.5,1515.25,1409,421.25,445.75,271.75,507.5,514,358.25,1247.25,1253,575.25
2020-12-01 09:00:00,2073,2137.5,1400.75,184.75,200,136.5,1133,1215.5,1040,1184.25,1228,1177.25,2146.25,2305,2002.75,1464,1527,1444.25,1588.5,1716.75,1518.25,450.75,489.5,303.25,559.75,596,466.75,1226.25,1250,612.75
2020-12-01 10:00:00,2072,2041.75,1305,180.5,200,125,1120.75,1204.5,980.5,1271,1327.75,1240.5,2197,2311.25,1919.75,1530.75,1627,1489,1678.25,1711,1599.75,470.5,540.25,311.75,568.25,620,449,1168.75,1445.75,693
2020-12-01 11:00:00,1994,2000,1279.25,187,200,134.5,1109.25,1200,963.25,1290,1350,1235.25,2213.5,2300,1931.25,1567.25,1650,1517.5,1731.5,1855.5,1648,466,550,301.5,573.25,620,475.5,1217.25,1500,778.75
2020-12-01 12:00:00,1956.25,2000,1233,179,200,130.5,1099,1200,945.5,1271.75,1350,1206.75,2244.5,2377.25,1956.5,1556.25,1650,1503.75,1726,1900,1614,472.25,550,305.75,593,643.75,439.75,1248.75,1500,767
2020-12-01 13:00:00,1924.25,1845.5,1172.75,185.25,239.5,140.75,1050.25,1200,904.5,1210.25,1275,1142,2236.5,2245,1950,1529.75,1573,1475.5,1714.75,1783.25,1612.75,480,510.5,311.25,587.75,610.75,371.25,1259,1265.5,733.5
2020-12-01 14:00:00,1909.5,1878.5,1214,176.25,178.75,132.5,1076,1200,1005.75,1190.75,1289,1120.75,2229.75,2200,1959,1512,1589.5,1471.5,1684.25,1711,1599.75,455,468.5,323.75,585.75,600,404.75,1269.5,1239,682
2020-12-01 15:00:00,1930.25,1900,1273.25,182,175.75,131.25,1070,1200,1046.5,1185.5,1300,1118.25,2261,2238.75,2129.25,1524.25,1561.5,1505.75,1672.5,1675,1605.75,478,539,332.25,572.25,640,429.75,1378.75,1336,661.25
2020-12-01 16:00:00,1976.5,1822.5,1220.5,185.75,195.75,128,1063.25,1200,1049.25,1147.5,1416.75,1104.25,2221.5,2327.5,2174.75,1473.75,1787.5,1459.5,1631.25,1855.5,1573,467.25,552,288.5,576.75,650,446,1361,1391.25,627.25
2020-12-01 17:00:00,2076,1920,1379.25,176.25,200,128.75,1129.75,1215.75,1113,1182.75,1450,1144.5,2325.5,2544.5,2292.75,1488.75,1850,1470.5,1639.75,1937.5,1585.75,478.25,550,287.5,571.25,792.5,464,1356.5,1400,606.25
2020-12-01 18:00:00,2152,1950,1447,164.25,200,117.25,1143.5,1317.5,1130,1135.5,1333.25,1106.5,2277.5,2445,2248,1464.75,1656.75,1447.25,1631.25,1833.25,1588,526.25,550,339.25,608.5,728,474.25,1371.75,1243.25,780
2020-12-01 19:00:00,2105,2067.5,1321.25,183.5,200,128.25,1120.75,1350,1108.75,1024.25,1300,1007,2148.5,2400,2111.75,1383,1600,1369.5,1513,1800,1476.25,522,589.5,345.25,620,700,431.25,1387.5,1239.25,825.5
2020-12-01 20:00:00,2040.5,2100,1335.5,176.5,184.5,120.25,1051.75,1350,1041,949.75,1300,933.25,2006.5,2535.75,1984.5,1284,1715.5,1282,1370.75,1971,1341.5,499,639.5,337.5,615.5,842.75,423.25,1271.75,1250,798.75
2020-12-01 21:00:00,1936,1866.75,1303.5,183.5,156.25,130.25,996.5,1350,988.25,879.5,1143.75,869.5,1885.75,2127.75,1872,1213.5,1479.5,1208.75,1223.5,1693.25,1200,486.5,610.5,318.25,613.5,817.25,427,1215.75,1367.5,741.25
2020-12-01 22:00:00,1873.25,1800,1126.5,175.25,165.75,127.5,922.75,1087.5,918.25,811.25,1022,801.75,1766.25,2000,1750.5,1123.5,1400,1121.5,1106.75,1600,1087.75,456.25,600,274.25,578.25,800,449,1143.75,1400,694
2020-12-01 23:00:00,1791.25,1800,1159.75,187.25,170,134.5,845,1000,841.5,739.5,1000,730.75,1667.25,2000,1653.5,1073.25,1400,1071.25,1011.25,1600,996.5,422,600,252.75,542.5,800,416.5,1073.75,1400,594.75
2020-12-02 00:00:00,1743.25,1720,1118.75,181,193,128.75,788.25,887.5,783.25,689,882.75,680.75,1566.25,1845,1557,1034,1284.5,1031.25,953.5,1375,941,400.75,521,264,515.5,721.5,368.75,1146.75,1274.75,592.75
2020-12-02 01:00:00,1689.25,1700,993.5,190.75,200,134.75,740.25,850,734.25,639.5,850,629.5,1491.75,1800,1485.5,999,1250,996.75,903.25,1300,890.25,380,500,247.5,491.75,700,415.5,1204.75,1247.75,612.75
2020-12-02 02:00:00,1686.75,1700,1028.75,185.75,168.5,138,711.25,889,704.75,629.5,889,621.75,1457.25,1950,1450.5,972.75,1365.5,970.5,867,1300,854.5,358.75,460.5,236.25,465.75,684.25,422,1184.25,1250,604.75
2020-12-02 03:00:00,1675.5,1623,1079.5,175.75,160,125.5,699.25,782.75,694.5,615.75,787.5,611.75,1428,1573.75,1420.25,968.75,1091.75,966,863.75,1066.75,850,345.5,411,215.5,448.5,499.5,409.75,1166.5,1152,544.5
2020-12-02 04:00:00,1703.25,1638.75,971.25,171.25,160,117.25,720.75,787.5,717.75,617.5,750,615.5,1444,1488.75,1436.75,976.5,1000,974.5,864.25,1000,849.75,339.25,400,193.25,443.25,450,392.25,1255.75,1125,497.25
2020-12-02 05:00:00,1808.25,1766,1112.5,180,191.75,130,779.5,875,776.5,682.5,862.5,681.5,1533.25,1639.5,1526.25,1018.75,1115.5,1016.5,936.25,1150,922.25,337.5,415.75,183.5,441.25,548.25,363.5,1237.5,1222.75,487.5
2020-12-02 06:00:00,1966.25,1903.5,1324,174,200,124.25,915,978,912.75,833.5,990,831.5,1755.75,1789.5,1744.75,1152.25,1288.25,1149,1219,1487.5,1203.5,370,423,189.25,458.75,559.25,323.75,1184.25,1261.75,554.5
2020-12-02 07:00:00,1993.5,1934.5,1227.5,185.75,200,127,984.5,1078,976.75,921.5,1057.5,912.25,1891.5,1938.75,1874.75,1223.75,1288.5,1220,1337.75,1600,1315.5,388.25,423.75,205,478.5,555,280.25,1209.25,1265,578.75
2020-12-02 08:00:00,2045.25,2016.75,1296.5,182.5,200,125,1083,1175,1077.75,1043.75,1130,1039,2066,2112.5,2045.25,1355.75,1415.5,1349.5,1412.5,1612.5,1389.75,402,445.5,255.75,509.5,515,355.75,1229,1253.25,515.75
2020-12-02 09:00:00,2028.25,2165.25,1357.75,187,200,134.75,1154.75,1215,1053.5,1155.25,1225,1143,2183.25,2305,2072.25,1468.75,1527,1431.25,1544.25,1716.75,1481.5,445.25,489.5,293.5,559.5,594.5,470,1237.25,1250,568.5
2020-12-02 10:00:00,2012.25,2040,1265.5,189,200,130.75,1149.5,1205,995,1279,1331.25,1229,2259.25,2311,2007,1528.5,1629.25,1449,1592.25,1711,1507.75,470.25,538.75,292.5,573,620,464.75,1222.25,1445.25,652.5
2020-12-02 11:00:00,1928.75,2000,1262,189.25,200,131.75,1105,1200,946.25,1291.5,1350,1222.75,2269.25,2300,2006.25,1549.75,1650,1448.5,1624,1855.5,1531.5,468.5,550,296.5,574,620,480.25,1208.5,1500,587.75
2020-12-02 12:00:00,1896.75,2000,1219.25,192.5,200,134,1091.5,1200,925.75,1269,1350,1199,2302.5,2377.5,2043.5,1529.25,1650,1432,1630.75,1900,1519.5,466.5,550,301.5,598,643.5,446.5,1269.5,1500,717.5
2020-12-02 13:00:00,1875.75,1844.5,1116.25,200.25,238.5,141,1040.25,1200,873.75,1195.75,1272,1117.75,2272.5,2250,2015.5,1515.75,1573,1438.5,1654.25,1787.5,1548.25,476.75,511.25,315.25,585.25,611,384.5,1312.75,1265,738.5
2020-12-02 14:00:00,1841.25,1877.25,1162.25,182.75,178.75,129.25,1052.25,1200,963.75,1173,1289,1090.5,2268,2200,2046,1510.25,1588.5,1472,1628.5,1712.5,1543.75,454.75,468.5,324.25,589.5,600,412,1401,1238.25,734.25
2020-12-02 15:00:00,1864,1900,1257.75,187,175.5,134,1046.5,1200,1012.25,1161.5,1300,1082.25,2302.25,2237.5,2167,1507.75,1561.25,1489.25,1617.25,1700,1545.25,469.25,539,330.25,572.25,639,442.75,1445,1336,696.25
2020-12-02 16:00:00,1894,1822.5,1191.5,181.75,195.75,124.5,1030.25,1200,1002,1146.25,1412.5,1098.5,2314.5,2327.5,2241.75,1469,1781.25,1448.25,1606.75,1850,1545.25,468,552,287.75,575.75,650,440,1389.25,1390.75,622
2020-12-02 17:00:00,2016.75,1922,1362.75,184.5,200,124.5,1087,1215,1058.75,1156.75,1450,1137.25,2385.25,2543.75,2324.75,1482.5,1850,1463,1610.25,1939,1551.75,473,550,277.25,582,790.5,449.5,1384,1400,589
2020-12-02 18:00:00,2144.5,1950,1445.25,163.75,200,127.25,1112,1321.5,1091.25,1106.75,1332.75,1090.75,2328.75,2445,2279.25,1442,1657.25,1426.25,1600,1837.5,1556.25,514.25,550,330.25,629.25,728.5,475,1356.25,1246.75,786.75
2020-12-02 19:00:00,2112.75,2066.75,1310.75,166.25,200,131,1104,1350,1087.5,1023.75,1300,1011.25,2177.25,2400,2147,1369,1600,1355.5,1497.5,1800,1455.5,511.25,588.75,330,627.25,700,440.25,1373.5,1238.25,825
2020-12-02 20:00:00,2083.25,2100,1330,159.5,184.5,118.25,1043.5,1350,1032,944.25,1300,933.25,2037.25,2535.75,2021.25,1279.75,1715.5,1274.25,1348.75,1965,1323,489.25,639.5,323.5,618.25,840,430.75,1294.25,1250,788.75
2020-12-02 21:00:00,1974.5,1868.25,1304.75,171.75,157,134.75,989,1350,979,878.75,1150,870.25,1920.5,2129.5,1899.75,1198,1480.25,1191.25,1208.5,1705,1194.75,463.5,611.25,303,606.25,817,444.75,1213,1365,754
2020-12-02 22:00:00,1897,1800,1128.25,174.5,165.5,130,899.25,1087.5,896.25,794.5,1025,787.75,1785,2000,1761.5,1130.75,1400,1125.5,1078.25,1600,1066,456,600,285.75,573,800,448,1120.25,1400,693.25
2020-12-02 23:00:00,1807,1800,1137.75,186.75,170,138,827.5,1000,824.75,724.75,1000,717,1673.5,2000,1654,1067,1400,1063.75,988.75,1600,982.75,432.5,600,265.5,538,800,415.75,1076,1400,596.75
2020-12-03 00:00:00,1756.25,1720,1102.5,173,193,125.75,768.75,887.5,766,677.5,882.75,668.25,1583.5,1850,1567.75,1018.5,1284.5,1015,927,1366.75,921.5,401.75,522.25,263.25,529.25,722,382.5,1143,1277.25,605.5
2020-12-03 01:00:00,1716.5,1700,969,182.75,200,124.75,729.75,850,727.5,639.5,850,631,1506.75,1800,1494.5,976.25,1250,972.75,901.25,1300,896.25,376.25,500,252.75,506.25,700,430.5,1195.5,1247.75,620.75
2020-12-03 02:00:00,1697,1700,995.25,177.25,169.25,130.75,702,887.5,699.25,624.5,887.5,615.75,1468,1955,1456.75,959.25,1362.5,955.75,895.25,1300,890,352.75,461.25,238.25,477,684.5,437.5,1145,1250,603.25
2020-12-03 03:00:00,1646.5,1622.75,1035,174,160,123.25,690.25,787.5,687.25,617.25,782.75,608.75,1441.25,1573.75,1430.75,953,1091.75,950,892.25,1066.75,885.75,350.25,411.75,230.5,460.5,500.75,423.5,1117,1154.25,522.75
2020-12-03 04:00:00,1684.75,1639,943.5,171,160,123.25,695.5,787.5,692.75,617.75,750,609.5,1454.75,1488.75,1444.5,958,1000,954.75,900.5,1000,893.5,348.75,400,209.25,447.25,450,396.25,1206.5,1125,502.75
2020-12-03 05:00:00,1777.5,1766.75,1097,179.75,190.75,134.5,750.75,875,745.75,680.25,867.25,674.75,1545.25,1635,1531.75,1004.75,1115.5,1002,971,1150,962.75,347.5,415.5,204,448.5,547.25,373.25,1213.25,1220.75,504
2020-12-03 06:00:00,1965,1998,1301,182,200,132,880.25,978,876,823,990,819,1746.5,1850.5,1728.75,1137,1227,1135.25,1252.75,1340.25,1242.75,361.75,404.5,195,466,516.5,332.25,1161.5,1261.5,541.75
2020-12-03 07:00:00,1997.5,1934,1211,191,200,132.75,960.75,1075,955.75,916,1057.5,904.75,1885.75,2050,1865.75,1225.75,1329.75,1219.5,1371.75,1587.5,1346.5,380.5,423.25,208.5,483,554.5,280.5,1190.75,1265,549.75
2020-12-03 08:00:00,2044.5,2012.5,1289.5,183,200,125.5,1071.5,1175,1061.25,1042,1132.5,1033.5,2069.5,2138.75,2051.75,1352,1438.75,1347.25,1454,1611,1424.5,407.5,445.25,254.5,511.75,516.25,353,1263,1253.5,527
2020-12-03 09:00:00,2020,2166.75,1338.25,194.75,200,137,1125.25,1215,1044,1187.5,1300,1174.5,2182.75,2300,2066.5,1441.5,1527.25,1379.75,1568.25,1716.75,1501.5,437.25,489,282.75,557,593.5,462.5,1284.5,1250,576.25
2020-12-03 10:00:00,1960.75,2044.5,1233.25,196,200,131,1115.5,1205,986,1266.25,1350,1205.25,2215.25,2312.5,1985.5,1496.25,1627.25,1376.25,1634.5,1712.5,1559.5,461.5,538.75,288,561,620,447.5,1259.25,1443.25,742.75
2020-12-03 11:00:00,1931.75,2000,1276,193.75,200,133.75,1095,1200,960,1302.25,1350,1217,2234.25,2300,1992.75,1513.25,1650,1390,1667.5,1855.5,1580.75,464.5,550,287.75,560.5,620,464.5,1271.75,1500,798
2020-12-03 12:00:00,1916.25,2000,1259.5,189.5,200,129,1066.75,1200,926.75,1281.25,1350,1197.75,2263.25,2375,2015.25,1524,1650,1397.75,1668.5,1900,1568,462,550,282,592.5,643.25,439,1269,1500,746.25
2020-12-03 13:00:00,1894.25,1837.5,1165.75,190.5,238.5,130.25,1027,1200,897.25,1210.25,1275,1123.5,2226.5,2250,1986.5,1502.5,1573,1403,1641.5,1787.5,1539.75,459,511.75,296.75,581.75,611.5,371.75,1291,1265.5,732.25
