"Time","Demand_PESCO","Alloc_PESCO","Drawn_PESCO","Demand_TESCO","Alloc_TESCO","Drawn_TESCO","Demand_IESCO","Alloc_IESCO","Drawn_IESCO","Demand_GEPCO","Alloc_GEPCO","Drawn_GEPCO","Demand_LESCO","Alloc_LESCO","Drawn_LESCO","Demand_FESCO","Alloc_FESCO","Drawn_FESCO","Demand_MEPCO","Alloc_MEPCO","Drawn_MEPCO","Demand_SEPCO","Alloc_SEPCO","Drawn_SEPCO","Demand_HESCO","Alloc_HESCO","Drawn_HESCO","Demand_QESCO","Alloc_QESCO","Drawn_QESCO"
2020-06-01 00:00:00,2127.75,2200,1377.25,172.25,189.25,120.75,1220.75,1562.5,1210.25,1409.5,1633.75,1402,2555,3012.5,2510.25,1855,1980.75,1848.5,2436.75,2710,2397.5,810.75,825,583.25,989.75,1050,773.75,1399.75,1500,811
2020-06-01 01:00:00,2037.5,2128.25,1371.75,170.25,193.25,124.5,1201,1408.25,1173.5,1389,1529,1384.25,2495,2732.5,2465,1801.5,1905.25,1796.25,2368,2600,2347.75,819.25,836,566.75,955.5,1050,730.5,1386.5,1464.25,778
2020-06-01 02:00:00,2014.75,2177,1450.5,166.5,200,120.5,1167.75,1350,1110.5,1354.25,1500,1344,2438.5,2650,2422,1759,1900,1753.25,2302.25,2637.5,2288,813.25,850,678.5,961.75,1050,852.25,1329,1450,732.75
2020-06-01 03:00:00,1998.25,2084.75,1378.75,156.5,200,115.75,1170.75,1350,1080.5,1344.75,1538,1332,2391,2650,2378.5,1730,1900,1725.5,2272,2672.5,2254.5,772.75,887.5,595,945.5,1088.25,857,1302,1450,697.75
2020-06-01 04:00:00,2024,2072.75,1377.5,161,200,124.25,1149.25,1350,1059.75,1331.25,1550,1309.25,2380.75,2650,2371.25,1691.75,1900,1684.25,2271.5,2680,2254,747.5,900,561.25,930.25,1100,848,1367.5,1450,655
2020-06-01 05:00:00,2050.75,2133.25,1376.75,168.75,177.5,132.25,1092.75,1200,1016,1296.75,1408,1197.5,2352.75,2507.5,2337.25,1642.75,1772,1634.25,2334.75,2517.75,2306.75,770.75,834.5,603.5,922.75,1011.75,818,1435.5,1459,637.75
2020-06-01 06:00:00,2032,2075,1347.75,169.25,193,136.25,1055.75,1179.25,1006.25,1187.75,1394.25,1015,2353.5,2500,2332.25,1646.25,1800,1639.75,2395.75,2500,2354.5,721.75,842.25,407.75,905,1000,651,1434.5,1470.25,618.5
2020-06-01 07:00:00,2029.5,2200,1356.5,168.5,200,127.25,1058.75,1325,1025.75,1110.25,1425,943.25,2416.5,2535,2391,1707,1812.5,1698.5,2521.25,2567.5,2448.5,726.5,762.5,397.25,901,1000,523.5,1454.75,1464,667.25
2020-06-01 08:00:00,2098.5,2250,1376,176,215,136.75,1126.25,1475,1095.25,1092,1576.25,986.75,2572.25,2887.5,2551.25,1813,2165,1794,2700.5,3120,2593.5,778.5,825,571.5,901.5,1000,607.75,1465.75,1557.75,753.75
2020-06-01 09:00:00,2070.5,2213,1487.25,177,212.5,140,1197.25,1535.5,1173.5,1196.25,1660,1135.75,2784,3105,2702.25,1951.25,2098.5,1922,2917.25,3195,2805.25,728.25,850,500.5,920,1037.5,753.25,1447.5,1585.5,784.25
2020-06-01 10:00:00,2040.75,2163,1435.5,172,202.5,129.75,1272,1450,1242.5,1340.5,1680,1282.25,2890.5,3150,2745,2030.75,2125.75,1976.25,3061.25,3185,2931.25,751.25,850,526,986,1072.5,738.5,1512.5,1594.25,866.25
2020-06-01 11:00:00,2090.75,2223.75,1429,178.25,200,126,1283,1350,1240.5,1430.25,1731.5,1387.25,2960,3150,2817,2110.75,2150,2046.75,3113.25,3235,2991,759.5,850,607.25,985.75,1058,763.5,1611,1675,923
2020-06-01 12:00:00,2107.2,2289.6,1557,173.6,200,137.4,1299.6,1550,1259,1475,1789.4,1451.4,3069.4,3188,2904.4,2138.6,2190,2075.8,3209.4,3288,3086.8,752.6,850,500.8,1005.2,1089.4,674.2,1624.2,1700,912.6
2020-06-01 13:00:00,2058.75,2150,1477,172.25,170,127.5,1294.75,1550,1264.75,1465.25,1750.75,1416.25,3069,3295,2871,2140,2249.75,2055.5,3260.75,3347.5,3149.25,782,850,523.25,1050.25,1050.75,751.75,1645.5,1603.5,892.75
2020-06-01 14:00:00,2146,2185,1574.5,169.75,199.5,124.25,1289.5,1437.5,1264,1475,1602,1427.5,3051.25,3175,2892.25,2167.75,2237.5,2095,3290,3342.5,3207.75,811.25,884.5,614,1057.75,1170,736.25,1706,1708.75,828.25
2020-06-01 15:00:00,2146.25,2200,1656,185.25,200,132.75,1292.75,1450,1265.75,1467.5,1600,1440,3113,3200,2989,2183.25,2250,2139.25,3323.75,3350,3247.5,797.25,900,555.75,1055,1200,846.25,1742.25,1750,716
2020-06-01 16:00:00,2149,2262.5,1494.5,183,200,133.25,1277.75,1416.75,1246.5,1451.5,1600,1438.5,3050.75,3140,2961.25,2141.75,2339.75,2107,3260,3372.5,3181.75,814.5,891.75,593.5,1072.5,1183.25,879.5,1665,1729.75,657.25
2020-06-01 17:00:00,2111.75,2283.75,1449.25,173.5,200,123,1211.25,1420,1166.75,1379.75,1596.75,1354.25,3003.5,3160,2874,2019.5,2342.75,1967.25,3116,3375,3013,811.75,900,608,1052.75,1196.75,857,1659.25,1735.75,684
2020-06-01 18:00:00,2010.5,2300,1380.25,168.25,200,122.75,1122.25,1450,1082.75,1260.25,1600,1239,2822.5,3200,2667,1825.5,2350,1805,2885.75,3400,2712.75,805,900,471.75,1002,1200,784.25,1580.25,1750,756.5
2020-06-01 19:00:00,1975.5,2061.5,1378.75,171.75,200,132.5,1161.25,1258.25,1138.25,1249.75,1363.25,1234.25,2775,2881.25,2701.5,1797,1906.5,1748,2673,2782.5,2383,847.5,896.75,529.5,1014,1186.75,663.5,1541,1639.25,848
2020-06-01 20:00:00,2140.5,2147.75,1431.25,167.5,200,118.5,1227,1250,1213.25,1311.75,1398.75,1298.75,2795.5,2790,2753,1849.5,1997.75,1801.25,2683.5,2750,2038,926.25,871.75,664.25,1033.25,1102.75,646.5,1530.25,1553.5,846.25
2020-06-01 21:00:00,2119,2052.25,1517.5,165.75,200,129.5,1213.75,1250,1204.25,1353,1448.75,1345.5,2796.5,2800,2744.25,1867.75,2097.75,1676,2491,2607.5,1674.5,934,899,631.25,1041.5,1148.5,750.5,1490,1550,833.5
2020-06-01 22:00:00,2112.5,2292.75,1502.25,165,219.25,130.25,1208.5,1535,1204,1343,1596,1336.75,2783.25,2937.5,2727.75,1839.75,2100,1525.75,2243.5,2645,1554.5,924,900,670.75,1081.75,1081.75,852.5,1500,1598.25,904.5
2020-06-01 23:00:00,2134,2203.75,1550.5,156.75,220,113,1217.25,1597.5,1209.5,1361,1746,1356,2747,3187.5,2604.25,1740.25,2197.25,1573.75,2019.75,3145,1416.75,889,900,700.75,1050.25,1051.25,851.5,1469.75,1503.5,867
2020-06-02 00:00:00,2073.25,2200,1483.25,161.25,181.5,118.75,1202,1552.5,1196.5,1342.25,1606,1338.5,2673,2962.5,2600.25,1693.25,1957.25,1603.25,1899.75,2637.5,1460.5,850.5,803,558.5,1057.25,1050,808.5,1482.75,1500,836
2020-06-02 01:00:00,1990.5,2103,1463.75,169.25,199.25,123.5,1187,1360,1182.5,1301.75,1504,1298.25,2633.25,2665,2589.25,1636,1901.5,1576.25,1808.25,2600,1501,834,848.5,574.25,1014.75,1050,805.75,1461.75,1453,813
2020-06-02 02:00:00,1996.25,2195.75,1556,168.5,200,121,1172.75,1350,1166.75,1288,1500,1284.75,2587.5,2650,2560,1627.5,1900,1573.75,1788.5,2647.5,1523,817.25,850,660.75,1015.25,1050,908,1399,1450,760
2020-06-02 03:00:00,1992.75,2054.5,1441,157,200,116,1172.25,1350,1164.5,1266,1548,1262,2547.25,2650,2526.25,1613.25,1900,1567.25,1789.5,2678.5,1551.5,786,897,553.75,990.5,1098,920.25,1419.5,1450,763.5
2020-06-02 04:00:00,2005,2078.75,1451.5,168.5,200,122.75,1156,1350,1148,1246.25,1550,1242.5,2532.25,2650,2518.25,1568.75,1900,1526.75,1793.75,2680,1575.5,760.25,900,556.5,962,1100,885,1496.25,1450,749.5
2020-06-02 05:00:00,2043.75,2146.75,1453.75,177.5,171.5,137.5,1127.75,1160,1110.5,1232,1408,1224.25,2499.25,2635,2476.75,1534.5,1804.25,1502.75,1799.5,2468.5,1586.75,748.5,853,506,953,1005.25,842,1550.25,1498.25,730.5
