"Date","Weekday","Holiday","HolidayType"
2016-07-05,"Tuesday","Eid-ul-Fitr Holiday","Public Holiday"
2016-07-06,"Wednesday","Eid-ul-Fitr","Public Holiday"
2016-07-07,"Thursday","Eid-ul-Fitr Holiday","Public Holiday"
2016-07-08,"Friday","Eid-ul-Fitr Holiday","Public Holiday"
2016-07-09,"Saturday","Eid-ul-Fitr Holiday","Public Holiday"
2016-07-10,"Sunday","Eid-ul-Fitr Holiday","Public Holiday"
2016-08-14,"Sunday","Independence Day","Public Holiday"
2016-09-12,"Monday","Eid al-Adha","Public Holiday"
2016-09-13,"Tuesday","Eid al-Adha Holiday","Public Holiday"
2016-09-14,"Wednesday","Eid al-Adha Holiday","Public Holiday"
2016-10-11,"Tuesday","Ashura","Public Holiday"
2016-10-12,"Wednesday","Ashura Holiday","Public Holiday"
2016-12-12,"Monday","Eid Milad un-Nabi","Public Holiday"
2016-12-25,"Sunday","Christmas Day","Public Holiday"
2016-12-25,"Sunday","Quaid-e-Azam Day","Public Holiday"
2017-02-05,"Sunday","Kashmir Day","Public Holiday"
2017-03-23,"Thursday","Pakistan Day","Public Holiday"
2017-05-01,"Monday","Labour Day","Public Holiday"
2017-06-26,"Monday","Eid-ul-Fitr","Public Holiday"
2017-06-27,"Tuesday","Eid-ul-Fitr Holiday","Public Holiday"
2017-06-28,"Wednesday","Eid-ul-Fitr Holiday","Public Holiday"
2017-06-29,"Thursday","Eid-ul-Fitr Holiday","Public Holiday"
2017-08-14,"Monday","Independence Day","Public Holiday"
2017-09-02,"Saturday","Eid al-Adha","Public Holiday"
2017-09-03,"Sunday","Eid al-Adha Holiday","Public Holiday"
2017-09-04,"Monday","Eid al-Adha Holiday","Public Holiday"
2017-09-05,"Tuesday","Eid al-Adha Day 4","Public Holiday"
2017-09-30,"Saturday","Ashura","Public Holiday"
2017-10-01,"Sunday","Ashura Holiday","Public Holiday"
2017-12-01,"Friday","Eid Milad un-Nabi","Public Holiday"
2017-12-25,"Monday","Christmas Day","Public Holiday"
2017-12-25,"Monday","Quaid-e-Azam Day","Public Holiday"
2018-02-05,"Monday","Kashmir Day","Public Holiday"
2018-03-23,"Friday","Pakistan Day","Public Holiday"
2018-05-01,"Tuesday","Labour Day","Public Holiday"
2018-06-16,"Saturday","Eid-ul-Fitr","Public Holiday"
2018-06-17,"Sunday","Eid-ul-Fitr Holiday","Public Holiday"
2018-06-18,"Monday","Eid-ul-Fitr Holiday","Public Holiday"
2018-08-14,"Tuesday","Independence Day","Public Holiday"
2018-08-22,"Wednesday","Eid al-Adha","Public Holiday"
2018-08-23,"Thursday","Eid al-Adha Holiday","Public Holiday"
2018-08-24,"Friday","Eid al-Adha Holiday","Public Holiday"
2018-09-21,"Friday","Ashura","Public Holiday"
2018-09-22,"Saturday","Ashura Holiday","Public Holiday"
2018-11-21,"Wednesday","Eid Milad un-Nabi","Public Holiday"
2018-12-25,"Tuesday","Christmas Day","Public Holiday"
2018-12-25,"Tuesday","Quaid-e-Azam Day","Public Holiday"
2019-02-05,"Tuesday","Kashmir Day","Public Holiday"
2019-03-23,"Saturday","Pakistan Day","Public Holiday"
2019-05-01,"Wednesday","Labour Day","Public Holiday"
2019-06-05,"Wednesday","Eid-ul-Fitr","Public Holiday"
2019-06-06,"Thursday","Eid-ul-Fitr Holiday","Public Holiday"
2019-06-07,"Friday","Eid-ul-Fitr Holiday","Public Holiday"
2019-08-12,"Monday","Eid al-Adha","Public Holiday"
2019-08-13,"Tuesday","Eid al-Adha Holiday","Public Holiday"
2019-08-14,"Wednesday","Independence Day","Public Holiday"
2019-08-14,"Wednesday","Eid al-Adha Holiday","Public Holiday"
2019-08-15,"Thursday","Eid al-Adha Day 4","Public Holiday"
2019-09-09,"Monday","Ashura","Public Holiday"
2019-09-10,"Tuesday","Ashura Holiday","Public Holiday"
