"Time","Username","Entry"
2021-07-23 12:29:06,"admin","Logged In"
2021-07-19 21:06:52,"admin","Logged In"
2021-07-19 21:05:33,"admin","Logged In"
2021-06-21 12:29:57,"admin","Uploaded New Data"
2021-06-21 11:43:27,"admin","Logged In"
2021-06-18 11:32:51,"admin","Uploaded New Data"
2021-06-18 11:32:40,"admin","Uploaded New Data"
2021-06-18 11:29:33,"admin","Uploaded New Data"
2021-06-18 11:09:15,"admin","Logged In"
2021-06-17 12:16:06,"admin","Logged In"
2021-06-17 11:53:53,"admin","Logged In"
2021-06-17 11:40:38,"admin","Logged In"
2021-06-17 11:35:32,"admin","Uploaded New Data"
2021-06-17 11:35:21,"admin","Uploaded New Data"
2021-06-17 11:32:01,"admin","Uploaded New Data"
2021-06-17 11:31:50,"admin","Uploaded New Data"
2021-06-17 11:21:47,"admin","Logged In"
2021-06-16 16:53:35,"admin","Logged In"
2021-06-16 16:34:10,"admin","Uploaded New Data"
2021-06-16 16:27:47,"admin","Logged In"
2021-06-16 14:45:16,"admin","Uploaded New Data"
2021-06-16 14:38:59,"admin","Logged In"
2021-06-07 15:41:05,"admin","Logged In"
2021-06-07 15:30:17,"admin","Logged In"
2021-06-07 14:20:41,"admin","Logged In"
2021-06-07 14:15:22,"admin","Logged In"
2021-06-07 10:20:33,"npcc","Downloaded DISCOs Forecast"
2021-06-07 10:20:08,"npcc","Downloaded DISCOs Forecast"
2021-06-07 10:19:35,"npcc","Downloaded Forecast"
2021-06-07 10:18:57,"npcc","Downloaded Forecast"
2021-06-07 10:18:21,"npcc","Uploaded New Data"
2021-06-07 10:14:32,"npcc","Logged In"
2021-06-06 21:15:09,"npcc","Downloaded Forecast"
2021-06-06 21:14:21,"npcc","Downloaded DISCOs Forecast"
2021-06-06 21:14:10,"npcc","Downloaded DISCOs Forecast"
2021-06-06 21:13:51,"npcc","Downloaded Forecast"
2021-06-06 21:13:04,"npcc","Logged In"
2021-06-06 13:49:17,"admin","Logged In"
2021-06-06 07:51:17,"npcc","Uploaded New Data"
2021-06-06 07:49:47,"npcc","Logged In"
2021-06-06 05:36:52,"npcc","Logged In"
2021-06-05 22:42:39,"npcc","Downloaded DISCOs Forecast"
2021-06-05 22:42:15,"npcc","Downloaded DISCOs Forecast"
2021-06-05 22:41:52,"npcc","Downloaded Forecast"
2021-06-05 22:41:28,"npcc","Downloaded Forecast"
2021-06-05 22:40:45,"npcc","Uploaded New Data"
2021-06-05 22:33:42,"npcc","Logged In"
2021-06-04 14:56:43,"npcc","Downloaded Performance Data"
2021-06-04 14:54:23,"npcc","Logged In"
2021-06-04 14:42:52,"npcc","Downloaded Performance Data"
2021-06-04 14:39:47,"npcc","Logged In"
2021-06-04 14:26:18,"npcc","Logged In"
2021-06-04 11:12:22,"admin","Logged In"
2021-06-04 10:03:44,"npcc","Downloaded DISCOs Forecast"
