"Time","hourly_load","Predicted","Lahore_summary","Lahore_icon","Lahore_precipIntensity","Lahore_precipProbability","Lahore_temperature","Lahore_apparentTemperature","Lahore_dewPoint","Lahore_humidity","Lahore_pressure","Lahore_windSpeed","Lahore_windGust","Multan_summary","Multan_icon","Multan_precipIntensity","Multan_precipProbability","Multan_temperature","Multan_apparentTemperature","Multan_dewPoint","Multan_humidity","Multan_pressure","Multan_windSpeed","Multan_windGust","Faislabad_summary","Faislabad_icon","Faislabad_precipIntensity","Faislabad_precipProbability","Faislabad_temperature","Faislabad_apparentTemperature","Faislabad_dewPoint","Faislabad_humidity","Faislabad_pressure","Faislabad_windSpeed","Faislabad_windGust","Quetta_summary","Quetta_icon","Quetta_precipIntensity","Quetta_precipProbability","Quetta_temperature","Quetta_apparentTemperature","Quetta_dewPoint","Quetta_humidity","Quetta_pressure","Quetta_windSpeed","Quetta_windGust","Peshawar_summary","Peshawar_icon","Peshawar_precipIntensity","Peshawar_precipProbability","Peshawar_temperature","Peshawar_apparentTemperature","Peshawar_dewPoint","Peshawar_humidity","Peshawar_pressure","Peshawar_windSpeed","Peshawar_windGust","Gujranwala_summary","Gujranwala_icon","Gujranwala_precipIntensity","Gujranwala_precipProbability","Gujranwala_temperature","Gujranwala_apparentTemperature","Gujranwala_dewPoint","Gujranwala_humidity","Gujranwala_pressure","Gujranwala_windSpeed","Gujranwala_windGust","Hyderabad_summary","Hyderabad_icon","Hyderabad_precipIntensity","Hyderabad_precipProbability","Hyderabad_temperature","Hyderabad_apparentTemperature","Hyderabad_dewPoint","Hyderabad_humidity","Hyderabad_pressure","Hyderabad_windSpeed","Hyderabad_windGust","Sukkur_summary","Sukkur_icon","Sukkur_precipIntensity","Sukkur_precipProbability","Sukkur_temperature","Sukkur_apparentTemperature","Sukkur_dewPoint","Sukkur_humidity","Sukkur_pressure","Sukkur_windSpeed","Sukkur_windGust","Islamabad_summary","Islamabad_icon","Islamabad_precipIntensity","Islamabad_precipProbability","Islamabad_temperature","Islamabad_apparentTemperature","Islamabad_dewPoint","Islamabad_humidity","Islamabad_pressure","Islamabad_windSpeed","Islamabad_windGust"
2021-06-23 00:00:00,NA,18677.2488742291,"Clear","clear-night",0,0,34.01,35.61,18.76,0.41,999.7,4,8.1,"Clear","clear-night",0,0,34.86,39.45,22.1,0.48,998.5,4.58,11.31,"Clear","clear-night",0.0346,0.01,34.74,36.04,18.13,0.37,999,2.83,6.01,"Clear","clear-night",0,0,22.45,22.45,-3.27,0.18,1005.5,1.44,1.48,"Clear","clear-night",0,0,32.54,32.54,10.4,0.26,1000.4,1.95,3.49,"Partly Cloudy","partly-cloudy-night",0,0,34.03,34.48,16.77,0.36,999.2,3.58,8.08,"Humid","clear-night",0,0,30.39,38.79,26.48,0.8,1002.4,8.81,12.6,"Humid","clear-night",0,0,34.47,39.22,22.33,0.49,999,5.03,10.06,"Clear","clear-night",0,0,30.79,30.79,10.73,0.29,1000.2,2,2.21
2021-06-23 01:00:00,NA,18554.3329974233,"Clear","clear-night",0,0,33.44,35.6,19.7,0.44,999.6,4.34,9.47,"Clear","clear-night",0,0,34.17,38.46,21.97,0.49,998.7,4.4,11.16,"Clear","clear-night",0.011,0.01,33.73,35.09,18.46,0.4,998.9,3.24,7.4,"Clear","clear-night",0,0,21.51,21.51,-3.02,0.19,1006,1.46,1.5,"Clear","clear-night",0,0,31.51,31.51,10.33,0.27,1001,2,2.96,"Mostly Cloudy","partly-cloudy-night",0.0256,0.01,33.24,33.59,16.71,0.37,999.2,3.38,7.23,"Humid","clear-night",0,0,29.93,37.92,26.45,0.82,1002.5,8.71,13.15,"Humid","clear-night",0,0,33.5,38.46,22.77,0.54,999.1,5.51,10.09,"Clear","clear-night",0,0,30.39,30.39,11.46,0.31,1000.8,2.31,2.44
2021-06-23 02:00:00,NA,18338.8577317444,"Clear","clear-night",0,0,32.63,35.35,20.6,0.49,999.4,4.54,9.91,"Clear","clear-night",0,0,33.54,37.57,21.86,0.51,998.3,4.55,11.59,"Clear","clear-night",0.034,0.01,32.77,34.68,19.48,0.46,998.9,3.82,10.09,"Clear","clear-night",0,0,20.77,20.77,-2.73,0.2,1005.9,1.48,1.54,"Clear","clear-night",0,0,30.71,30.71,10.07,0.28,1001.2,1.8,2.42,"Partly Cloudy","partly-cloudy-night",0.0423,0.02,32.47,32.73,16.64,0.39,999.2,3.21,5.37,"Humid","clear-night",0,0,29.56,36.92,26.2,0.82,1002,8.57,13.4,"Humid","clear-night",0,0,32.51,38.23,23.69,0.6,998.7,5.81,10.01,"Clear","clear-night",0,0,29.64,29.64,12.19,0.34,1000.7,2.32,2.42
2021-06-23 03:00:00,NA,17818.1882972731,"Clear","clear-night",0.0051,0.01,32.13,35.11,21.05,0.52,999.7,4.44,10.16,"Clear","clear-night",0,0,32.78,36.44,21.66,0.52,998.3,5.04,12.21,"Clear","clear-night",0,0,31.96,34.3,20.26,0.5,999.1,4.11,11.04,"Clear","clear-night",0,0,20.2,20.2,-2.58,0.21,1006.1,1.38,1.43,"Clear","clear-night",0.0051,0.01,29.88,29.88,9.84,0.29,1001.5,1.37,1.5,"Partly Cloudy","partly-cloudy-night",0.0539,0.02,31.4,31.6,16.57,0.41,999.5,3.17,5.88,"Humid","clear-night",0,0,29.18,35.82,25.89,0.83,1001.8,8.11,13.2,"Humid","clear-night",0,0,31.42,37.26,24.11,0.65,998.7,5.83,10.43,"Clear","clear-night",0.0401,0.01,28.82,28.82,12.69,0.37,1000.8,2.24,2.36
2021-06-23 04:00:00,NA,17874.7759290611,"Clear","clear-night",0.005,0.01,31.55,34.54,21.19,0.54,999.8,4.14,9.95,"Clear","clear-night",0,0,32.12,35.71,21.74,0.54,998.3,4.84,12.44,"Clear","clear-night",0,0,31.31,33.74,20.52,0.53,999.1,4.02,10.89,"Clear","clear-night",0,0,19.62,19.62,-2.71,0.22,1006.4,1.39,1.44,"Clear","clear-night",0.0051,0.01,29.17,29.17,9.37,0.29,1002.1,1.26,1.29,"Partly Cloudy","partly-cloudy-night",0,0,30.43,30.57,16.37,0.43,999.9,2.54,3.86,"Humid","clear-night",0,0,28.84,34.82,25.55,0.82,1001.8,7.9,13.41,"Humid","clear-night",0,0,30.49,36.11,24.27,0.69,998.7,5.53,10,"Partly Cloudy","partly-cloudy-night",0.0716,0.01,28.06,28.06,12.85,0.39,1001.2,2.36,2.45
2021-06-23 05:00:00,NA,17656.9010810734,"Clear","clear-night",0,0,31.49,34.55,21.28,0.55,999.9,4.04,9.63,"Humid","clear-night",0,0,31.64,35.71,22.39,0.58,998.5,4.75,11.91,"Clear","clear-night",0,0,30.93,33.57,20.89,0.55,999.3,3.72,9.3,"Clear","clear-night",0,0,19.1,19.1,-2.9,0.22,1006.6,1.32,1.34,"Clear","clear-night",0,0,28.8,28.8,9.21,0.29,1002.6,1.17,1.32,"Partly Cloudy","partly-cloudy-night",0,0,29.94,30.41,17.15,0.46,1000.2,2.58,3.79,"Humid","clear-night",0,0,28.56,34.01,25.28,0.82,1001.7,7.82,13.39,"Humid","clear-night",0,0,29.75,35.05,24.31,0.73,999,5.42,9.44,"Partly Cloudy","partly-cloudy-night",0,0,27.73,27.73,12.4,0.39,1001.7,2.37,2.45
2021-06-23 06:00:00,NA,17645.494103075,"Clear","clear-day",0.0056,0.01,31.84,35.14,21.48,0.54,1000.6,4.05,9.14,"Humid","clear-day",0,0,31.84,36.32,22.75,0.59,999.1,4.92,11.44,"Clear","clear-day",0,0,31.47,34.45,21.18,0.54,999.9,3.78,8.73,"Clear","clear-day",0,0,19.28,19.28,-3.17,0.22,1007.1,1.13,1.23,"Clear","clear-day",0.0051,0.01,29.04,29.04,9.11,0.29,1003.3,1.28,1.49,"Clear","clear-day",0.0052,0.01,30.49,31.15,17.61,0.46,1000.7,2.96,4.34,"Humid","clear-day",0,0,28.37,33.57,25.18,0.83,1002.2,8.04,13.13,"Humid","clear-day",0,0,29.31,34.57,24.52,0.75,999.6,5.51,8.68,"Partly Cloudy","partly-cloudy-day",0.0051,0.01,28.19,28.19,12.56,0.38,1002.3,2.25,2.66
2021-06-23 07:00:00,NA,18574.9200675868,"Clear","clear-day",0.0051,0.01,32.87,36.48,21.59,0.52,1001.5,4.58,7.99,"Humid","clear-day",0.0051,0.01,33.03,38.32,23.18,0.56,999.8,5.35,10.23,"Clear","clear-day",0.0063,0.01,33.03,36.43,21.31,0.5,1000.7,4.1,6.79,"Clear","clear-day",0,0,21.08,21.08,-3.63,0.19,1007.7,0.84,1.11,"Clear","clear-day",0.0051,0.01,30.55,30.55,8.24,0.25,1003.9,1.32,1.57,"Clear","clear-day",0.0052,0.01,32.39,33.32,17.97,0.42,1001.4,3.74,4.96,"Humid","clear-day",0,0,28.83,34.28,25.04,0.8,1002.7,8.7,12.89,"Humid","clear-day",0,0,29.69,35.27,24.6,0.74,1000.4,5.53,7.52,"Partly Cloudy","partly-cloudy-day",0.0051,0.01,30.29,30.29,12.59,0.34,1003,2.13,2.63
2021-06-23 08:00:00,NA,19811.8130709726,"Clear","clear-day",0.0052,0.01,34.57,38.66,21.67,0.47,1001.9,4.67,6.34,"Humid","clear-day",0,0,34.78,40.71,23.29,0.51,1000.3,5.28,8.84,"Clear","clear-day",0.0343,0.01,35.08,38.99,21.36,0.45,1001,3.8,5.12,"Clear","clear-day",0,0,23.52,23.52,-4.57,0.15,1007.9,0.64,1.07,"Clear","clear-day",0.0051,0.01,32.15,32.15,7.5,0.22,1004.2,1.38,1.68,"Clear","clear-day",0.0051,0.01,34.58,36.03,18.39,0.38,1001.9,4.18,5.34,"Humid","clear-day",0,0,30.19,36.59,25.08,0.74,1003.1,8.98,12.14,"Humid","clear-day",0,0,30.77,37.08,24.74,0.7,1001.1,5.1,6.19,"Clear","clear-day",0.0497,0.01,32.09,32.09,12.61,0.31,1003.3,2.02,2.44
2021-06-23 09:00:00,NA,20310.0182964813,"Clear","clear-day",0.006,0.01,36.55,41.05,21.57,0.42,1001.8,4.12,4.67,"Humid","clear-day",0,0,36.39,42.53,23.08,0.46,1000.8,4.94,7.5,"Clear","clear-day",0.23,0.02,36.08,40.26,21.38,0.43,1001.4,3.22,3.77,"Clear","clear-day",0,0,26.03,26.03,-6.11,0.12,1007.7,1.19,2,"Clear","clear-day",0,0,33.53,33.53,6.66,0.19,1004.3,1.43,1.64,"Clear","clear-day",0,0,36.35,38.16,18.46,0.35,1002,3.88,4.23,"Humid","clear-day",0,0,32.13,40,25.44,0.68,1003.3,8.81,11.15,"Humid","clear-day",0,0,32.36,39.37,24.75,0.64,1001.5,4.53,4.97,"Clear","clear-day",0,0,33.93,33.93,12.69,0.28,1003.5,1.91,2.12
